,Episode,Best score so far,Eval score,"Eval, g: [0.]: mean_agg","Eval, g: [0.]: std_agg","Eval, g: [0.]: mean_C0","Eval, g: [0.]: mean_C1","Eval, g: [0.]: std_C0","Eval, g: [0.]: std_C1","Eval, g: [0.25]: mean_agg","Eval, g: [0.25]: std_agg","Eval, g: [0.25]: mean_C0","Eval, g: [0.25]: mean_C1","Eval, g: [0.25]: std_C0","Eval, g: [0.25]: std_C1","Eval, g: [0.5]: mean_agg","Eval, g: [0.5]: std_agg","Eval, g: [0.5]: mean_C0","Eval, g: [0.5]: mean_C1","Eval, g: [0.5]: std_C0","Eval, g: [0.5]: std_C1","Eval, g: [0.75]: mean_agg","Eval, g: [0.75]: std_agg","Eval, g: [0.75]: mean_C0","Eval, g: [0.75]: mean_C1","Eval, g: [0.75]: std_C0","Eval, g: [0.75]: std_C1","Eval, g: [1.]: mean_agg","Eval, g: [1.]: std_agg","Eval, g: [1.]: mean_C0","Eval, g: [1.]: mean_C1","Eval, g: [1.]: std_C0","Eval, g: [1.]: std_C1",Loss 1,Loss 2,"Train, Cost 1","Train, Cost 2","Train, Aggregated cost"
0,50,286425.07557091455,286425.07557091455,3227.8993359803676,792.5925260543395,2098134.5683872383,440258550.41379195,515185.1419353208,89777407.51805036,149487.3141578329,29139.955245942936,2129478.5013464694,382278581.306326,458676.68779117253,74581856.36893395,289938.24176845053,51010.03408763349,2166424.8320238516,374753289.46696186,495535.977830652,65875529.47807617,446296.9587549696,101219.60733001736,2151691.7211176823,386073467.01393443,486193.68779714894,87577356.83301124,543174.9638373395,111021.89538532154,2040888.0448233099,353063726.4942707,521149.49921066535,72164232.00045897,15641.421875,566379456.0,1995995.2705139732,504860855.4042843,382611.36974302365
1,100,286425.07557091455,291854.56593830604,3419.3425147092826,834.3267361561853,2222572.6345610335,432873339.86611,542312.3785015207,90938874.05823739,153237.86611261807,21363.380501219737,2250065.948355447,391668254.0477405,404690.94857122336,54545837.019023865,286274.86984337255,62167.36197477254,2100627.5300071067,370056703.26637733,548142.8488283103,80337119.1562251,421515.2281435311,94833.15470428497,2041036.0377895636,364632852.3784637,525485.9446867431,82025470.65411346,594825.5230772992,101311.85623656535,2160943.630802228,386636590.0002444,382895.1861003158,65852706.55376747,9107.0087890625,604918208.0,2107110.5677803517,489074786.14720863,368536.435903951
2,150,286425.07557091455,292672.6029149808,3295.7831257550965,774.3010840694868,2142259.0317408126,432394195.643174,503295.7046451664,130985682.69462128,142759.12589966302,22604.913141444937,2089387.5519632301,364905564.68323416,390898.0567797429,57802324.39516731,283594.85810611525,41114.69394430967,2031293.6334935322,366642021.90445626,369208.59201086016,53147981.034459114,430150.1687308849,88400.57384553544,2107140.509545247,372094432.7302517,456399.0660241443,76474524.02158786,603563.0787124856,116066.81526400731,2242020.5400888897,392316001.1631156,524989.9481885105,75443429.92160477,7828.58544921875,585753984.0,2145397.836619873,526130527.257445,414780.88803250215
3,200,286425.07557091455,288221.99012566183,3484.793223794291,646.6440095424618,2265115.5954662883,381185587.62714195,420318.6062026002,66768232.42954623,147053.06082633403,30528.4122464193,2118915.707606619,375981211.0256485,478700.9327170395,78128502.39414053,283598.9549313161,58046.704948229926,2110491.6735352953,366568149.7371757,542218.9367110257,74966046.74518764,460064.28014629,80060.11338769169,2287701.954592846,397959808.80858713,407096.95594794204,69265609.9577177,546908.8615005745,92438.90695100967,2065142.7075946867,355490759.9753734,438894.45436322934,60085289.518156275,11237.796875,747077248.0,2147325.6432833383,511303248.4680893,374433.1122018601
4,250,286425.07557091455,297363.38376314146,3305.948152904539,740.3098145224681,2148866.299387951,413047498.173313,481201.3794396041,79420506.06140104,156764.48481806827,33782.84613788776,2184787.9878665223,401033296.5633779,485509.3492525045,86720327.27654101,296231.7003106877,67546.63541103211,2266371.347068776,382834839.0568252,554782.9622598077,87352726.56166814,448253.8390707262,106755.26593766385,2226750.554480389,387744410.3431359,571769.4884864847,92356212.98688497,582260.9464633208,115504.97173585035,2120596.7169617945,378469615.2011584,438751.34606836364,75078231.62830272,9002.869140625,662845312.0,2216231.0629006326,516655118.1364146,388986.09495953127
5,300,286425.07557091455,297423.07812493463,3552.217803210006,829.9606901280172,2308941.5720865037,503755971.82030594,539474.4485832109,118591571.59829473,151996.25350382325,31371.87344791107,2242445.7306894306,388462921.917872,494738.33065100503,80317512.36294183,290483.52983699157,61314.87907876666,2070142.3872389072,375558446.40085,539985.6430540503,79219287.80961566,445114.9511945869,94120.72263048822,2188680.3520851987,385036730.9179469,520529.7447423813,81422740.5249716,595968.4382860615,127334.70941173795,2217195.859883829,387379484.88593996,543267.7344524907,82767561.11762968,9768.2724609375,712988544.0,2079945.2902227277,508547141.5688877,345576.60751057346
6,350,279326.5987578108,279326.5987578108,3311.4300845860594,1057.5634412355014,2152429.5549809397,383171519.61967987,687416.2368030762,107401828.29579133,144762.23353530132,29315.368682690867,2092865.2308413933,370103211.49925923,470581.08472401265,75029832.16193844,281728.88355425285,61772.380737219486,2217603.5560946963,364029945.06443405,584124.7397704253,79791895.6435718,417807.0883149564,76931.52035050464,2125869.603416275,361390853.3384901,468915.26431374974,66543269.225760825,549023.3582999571,132343.15490358084,2000816.0991676827,356865182.8949721,534781.656682843,86023050.68732756,8202.845703125,610529472.0,2141531.3834638386,511864277.906926,389149.885787477
7,400,279326.5987578108,288029.85118938045,3102.530510531995,599.7793380707711,2016644.8318457964,457891600.00778335,389856.5697460013,81256065.55080569,147763.7350658635,28798.79830559232,2118784.000073877,377829359.17102355,443657.41939703864,73788352.09757198,298659.1529526592,54690.0628677753,2151430.9177675326,386105467.9206894,396743.9335227595,70795153.91025162,423428.87417958974,85375.9979130322,2144163.070137887,366256969.9322652,516997.38741246937,73849430.67875566,567194.9632382579,109264.6560012285,2115705.15673161,368676726.10486764,467561.47899050947,71022026.40079851,8742.7763671875,750260224.0,2145558.6697140457,510042211.30874,368709.5336268755
8,450,279326.5987578108,287017.82124055957,3389.670187976758,744.7643814246458,2203285.6221848927,474081516.90407866,484096.8479260196,85422880.11794983,141636.74471024034,29301.863750614437,2066200.2837986534,362056935.3952291,524072.2735641834,74794992.97565989,307728.7532374905,49125.295974053864,2300023.875620276,397747355.3331174,384585.8078566047,63565019.52978912,428724.9857476474,93724.42334022617,1994982.107565489,370896660.27877265,468688.28771714773,81091612.57041945,553608.952319443,100796.74930172722,1997966.8130888424,359845819.0076381,447128.3960009758,65517887.0461227,7335.73388671875,744269568.0,2213556.4324016757,526689036.1050488,357055.69105947256
9,500,279326.5987578108,295624.12585466396,3216.47307906176,763.0996036449566,2090707.501390144,387324030.4772045,496014.7423692217,68995872.02201098,146632.47686282967,26356.04404448712,2218511.135937838,374588906.43554366,470635.8935575207,67452346.1894917,296080.5212039279,59707.63413836398,2187220.248417847,382717457.3166884,557544.1879915742,77107376.1318079,431184.7525868483,74144.63665538118,2042476.9143435205,373012626.6038206,411283.91619062144,64137693.520504355,601006.4055406522,119675.4842575097,2222878.660222589,390654163.60142404,522201.97682826204,77789064.76738131,6865.455078125,568911104.0,2169649.1666750507,524269584.8120493,402869.68518562807
