,Episode,Best score so far,Eval score,"Eval, g: [0.]: mean_agg","Eval, g: [0.]: std_agg","Eval, g: [0.]: mean_C0","Eval, g: [0.]: mean_C1","Eval, g: [0.]: std_C0","Eval, g: [0.]: std_C1","Eval, g: [0.25]: mean_agg","Eval, g: [0.25]: std_agg","Eval, g: [0.25]: mean_C0","Eval, g: [0.25]: mean_C1","Eval, g: [0.25]: std_C0","Eval, g: [0.25]: std_C1","Eval, g: [0.5]: mean_agg","Eval, g: [0.5]: std_agg","Eval, g: [0.5]: mean_C0","Eval, g: [0.5]: mean_C1","Eval, g: [0.5]: std_C0","Eval, g: [0.5]: std_C1","Eval, g: [0.75]: mean_agg","Eval, g: [0.75]: std_agg","Eval, g: [0.75]: mean_C0","Eval, g: [0.75]: mean_C1","Eval, g: [0.75]: std_C0","Eval, g: [0.75]: std_C1","Eval, g: [1.]: mean_agg","Eval, g: [1.]: std_agg","Eval, g: [1.]: mean_C0","Eval, g: [1.]: mean_C1","Eval, g: [1.]: std_C0","Eval, g: [1.]: std_C1",Loss 1,Loss 2,"Train, Cost 1","Train, Cost 2","Train, Aggregated cost"
0,50,292058.87731203885,292058.87731203885,3291.0244114337484,903.743144617972,2139165.8674319373,366457908.12444824,587433.0440016821,81978622.14023228,152068.88734472808,29590.068224688628,2197929.6671701046,388785318.09478277,499820.34866270685,75628852.08941764,271885.25812006067,42942.560738380125,2001187.6982445247,351449647.85783446,414518.6321530671,55508167.32477672,457475.967315485,62158.578177128606,2177743.4959942666,395753257.17475575,388348.3179133068,53760236.36826577,575573.2493684868,135145.34613459464,2069405.5151603546,374122612.0895166,556853.0011538495,87844474.98748653,19702.4921875,682613376.0,2115570.0030775354,508575124.82237333,359481.0409267989
1,100,292058.87731203885,293120.8723937298,3203.169674600928,869.0250852392505,2082060.288490604,475472900.83730245,564866.3054055129,93699998.01610243,146538.04349358246,31066.715394126197,2117031.646835915,374647818.14280677,504052.60289084003,79418295.9669854,299565.9931000523,50009.08236141444,2235430.6425580806,387200360.38751,475617.774758445,64590478.12005619,437775.32251017174,96441.40856080984,2145082.617745755,378690251.96956694,566245.0442942551,83418519.05811755,578521.8331902415,118644.84867485322,2242970.0144540025,376039191.573657,565621.2915432185,77119151.63865456,11956.119140625,603212096.0,2101564.8022357416,457280334.017294,337676.7149135864
2,150,292058.87731203885,294929.63337806315,3005.1040815567085,807.4255949112303,1953317.6530118608,613813994.3351381,524826.6366922996,164604785.6460531,144338.19076554608,32128.338149576266,2045532.9860661523,369142697.0322214,520048.5348090605,82095473.36633112,303748.43606986507,53837.27158360477,2116969.602283618,392755997.28854096,450128.5045827094,69571430.04213183,444790.7180441836,82119.37726081217,2245160.12210852,384736902.2642563,463440.93312565156,71049744.71229976,578765.7179291643,113553.51776317242,2161725.282140276,376197716.65395683,531761.6794899548,73809786.54606208,10376.4443359375,693719680.0,2265136.876378547,520071984.20224553,393260.306048595
3,200,292058.87731203885,296416.1369975307,3392.7210794673597,784.5341913785978,2205268.701653784,435475586.8647295,509947.2243960886,121689764.4359317,139296.25978365156,24006.967859862958,1929813.6226564837,356380834.5695247,376064.04648227745,61575867.43911066,281714.86920881935,49210.20663562901,2037800.8171821856,364191529.1542831,445377.6856400566,63626242.2642204,508909.90138418827,112703.82705536544,2361555.450513947,440268062.71612513,562109.968783225,97546639.86687909,548766.9335315271,114253.7332184981,2071778.389547868,356698506.7954927,508822.64331207826,74264926.59202379,12497.9833984375,687418944.0,2166364.794734578,517112855.13535255,423902.5315173718
4,250,292058.87731203885,300222.8282890958,3120.014528434088,739.9838420607643,2028009.443482157,566912221.1412474,480989.49733949656,156120424.69923717,175326.15053574907,30454.946550628352,2219931.562503558,449188196.7054368,511882.35084592947,77861428.15961477,286545.4713356421,55220.3268047283,2155071.101540969,370354041.6347938,523073.7279615845,71319484.34887867,455357.08620835986,73017.63348323968,2215054.0558928773,393904456.6952809,444455.0461174295,63158429.64805846,580765.4188372939,119315.64497301404,2095152.0407084408,377497522.24424106,531833.0659040617,77555169.23245911,8888.3037109375,692373120.0,2090977.5905539738,494522371.02316725,373628.43919524294
5,300,281887.68477073486,281887.68477073486,3221.9300007160805,710.8140074943497,2094254.5004654522,454634804.1019195,462029.1048713274,84863231.57634309,148921.11540994866,31300.96570335047,2150171.9374682647,380744384.2534616,557674.7177264435,79790759.29128726,270892.2582886713,68064.87418620865,2019071.2010997802,350140864.5741729,627069.7736484028,87893365.90115966,429717.9838915716,84443.3806490597,2089898.0311951188,371725620.0289637,455825.73758335767,73049644.43231268,556685.1362627669,114818.06232209367,2044694.0212470577,361845338.5707987,553067.4306670482,74631740.50936091,9947.09765625,592054464.0,2081652.4498718453,448308521.16691065,364199.0050024309
6,350,281887.68477073486,399974.780235215,3188.7792489127964,551.3252559526521,2072706.511793317,489881198.4729435,358361.416369224,75640438.71982846,321011.38992534654,144339.56070779372,2106532.9241038808,828310015.0335892,425675.4293122931,374325143.45414007,374081.89502104634,85121.59382818869,2273052.4717910117,484033411.05556935,514016.3471058609,110365372.16108179,551962.2930931298,91485.3984085634,2251743.0207256884,477616739.67380404,539609.1366574024,79136342.97979003,749629.5438876392,135121.48121388038,2220132.8624765375,487259203.5269657,591771.1072227501,87828962.78902225,7755.39013671875,592296000.0,2258965.3352340977,558318018.8031346,399191.5279816306
7,400,281887.68477073486,290523.7329241276,3242.5534609176925,806.0504123940033,2107659.7495965003,473640849.91410047,523932.768056102,192410154.76828086,136369.5398159082,22655.732289909643,2024212.0140129225,348488167.47932255,369214.464782746,58029734.27037558,277749.0730776982,47395.917315067585,2043334.2553734467,359030460.74563414,427637.9305616997,61260693.5435336,418424.50003987155,92961.17767910945,2047424.4090958587,361952091.8981901,553138.7702165863,80406237.80379267,616832.9982262424,137160.891308155,2283701.3223109273,400941448.8470576,597931.3051341219,89154579.35030073,6784.84619140625,663321920.0,2098882.5681903646,521137832.87242526,398416.6298721869
8,450,281887.68477073486,347567.5827141172,3227.2724322502745,572.1626695798531,2097727.0809626775,828831311.9810685,371905.73522690445,115637359.55668928,201188.4750655798,37735.15377743,2131459.513190608,516695656.6309357,436738.8216085765,97206864.54066786,317913.58380017517,40741.72995390753,2080718.8150156336,411206940.12521225,422671.7080604172,52759568.256232485,515400.4731915915,86701.41881732456,2228041.441575651,445937729.618854,469256.77863762184,75031502.52796163,700108.1090809891,136379.21590926623,2124947.077410571,455070270.9026431,521359.7000052061,88646490.34102295,5555.67724609375,631917120.0,2154854.2102074223,510546979.13782686,399317.73947251885
9,500,281887.68477073486,283290.164312824,3071.615195180135,686.8157809710643,1996549.876867088,455237416.45451176,446430.2576311918,168398722.39892125,139899.66583825028,33354.65649404912,2059827.0550085458,357559650.01442516,520269.07832359354,85290347.2290287,313201.3113519484,87300.35836053266,2263327.523108232,404898377.23442465,701024.2137427202,112817241.70908207,399990.20576908824,84206.83762030941,2009566.0268688675,345988322.99092007,468812.0425285838,72862196.10093537,560288.0234096531,106719.75253060332,2065058.4422642856,364187215.2162747,515085.0489949382,69367839.1448922,5543.849609375,594736448.0,2120250.958133891,541653985.2080355,403119.4786641863
