,Episode,Best score so far,Eval score,"Eval, g: [0.]: mean_agg","Eval, g: [0.]: std_agg","Eval, g: [0.]: mean_C0","Eval, g: [0.]: mean_C1","Eval, g: [0.]: std_C0","Eval, g: [0.]: std_C1","Eval, g: [0.25]: mean_agg","Eval, g: [0.25]: std_agg","Eval, g: [0.25]: mean_C0","Eval, g: [0.25]: mean_C1","Eval, g: [0.25]: std_C0","Eval, g: [0.25]: std_C1","Eval, g: [0.5]: mean_agg","Eval, g: [0.5]: std_agg","Eval, g: [0.5]: mean_C0","Eval, g: [0.5]: mean_C1","Eval, g: [0.5]: std_C0","Eval, g: [0.5]: std_C1","Eval, g: [0.75]: mean_agg","Eval, g: [0.75]: std_agg","Eval, g: [0.75]: mean_C0","Eval, g: [0.75]: mean_C1","Eval, g: [0.75]: std_C0","Eval, g: [0.75]: std_C1","Eval, g: [1.]: mean_agg","Eval, g: [1.]: std_agg","Eval, g: [1.]: mean_C0","Eval, g: [1.]: mean_C1","Eval, g: [1.]: std_C0","Eval, g: [1.]: std_C1",Loss 1,Loss 2,"Train, Cost 1","Train, Cost 2","Train, Aggregated cost"
0,50,293777.84687974665,293777.84687974665,3250.8297185788747,827.3213986120547,2113039.317076268,378987040.9622418,537758.9090978355,89638184.36114432,142555.7917681989,27074.956286630793,2105260.648903678,364329276.6506062,510862.64538334246,69189851.45296049,282719.31115200685,57925.71656057523,2098604.368802835,365436500.12880605,430080.16026207415,74966276.78490801,463335.34278873034,105117.79715808347,2072313.0074129044,400866526.0810953,495710.57515691343,90967439.17794402,577027.9589712184,119798.91956641566,2177958.405450885,375068173.33129185,506448.9571062688,77869297.71817014,18223.484375,606185408.0,2009351.7170419823,503139918.2446889,424703.03950886213
1,100,293777.84687974665,303709.4787978294,3384.000864644024,782.2320221133725,2199600.562018616,394878412.6487586,508450.81437369186,81658370.6684752,180774.21133475704,31178.6440242769,2071736.4267653227,463797740.19007224,577511.1000126448,79692979.3100995,338442.79469698627,60827.13096621299,2168901.147704973,437806731.958377,508107.2297312247,78623875.67981358,409488.51491786516,60246.56968546399,2113034.42660199,354185701.45328236,380662.22574657446,52155720.22144946,586457.8721748947,115584.62247320691,2149318.858124595,381197616.91368145,478861.1926411655,75130004.6075845,10324.185546875,684741632.0,2229067.6382822613,529122392.7978285,393745.30895288085
2,150,293305.9604621505,293305.9604621505,3178.514088492264,626.3305057345101,2066034.1575199708,382874532.4165744,407114.8287274317,81447341.61259094,156844.89283739132,29264.341318961073,2116315.6172730816,401447774.52539825,420821.79140850477,75063937.97424585,318446.99641991983,65410.395812939045,1995765.2349264447,411985330.11096925,432785.34051658516,84674330.34955558,425216.51010297344,103719.20999016322,2088822.8526638658,367824701.1383558,492302.06489064207,89755054.9061364,562842.8888619757,116503.27961730896,2129653.164223772,365847877.7602842,519353.0880897545,75727131.75125082,11263.2744140625,666628992.0,2221213.0315255565,533572558.1039278,409580.033321202
3,200,293305.9604621505,299133.3878400385,3279.5335209343616,896.8165900911935,2131696.788607335,364134622.54067713,582930.7835592758,89119403.689711,165643.50226260332,28040.637872061172,2176027.4206458246,424145023.62083113,455988.27089021954,71772426.98387508,324487.95022226387,53424.11057748371,2119434.610737851,419714900.67820525,458973.0398654681,69148289.19260581,436681.7158421253,89016.57854434273,2079392.4484242434,377764356.24703395,504578.5403298846,77019405.05858943,565574.2373522656,91485.12056668109,2054814.6320900514,367623254.2789726,413711.74860938155,59465328.368342705,11892.681640625,691463104.0,2010951.0919195842,481824370.5420758,388956.33689523017
4,250,293305.9604621505,305970.83665960596,3263.016060637253,835.1248499756883,2120960.439414214,404953668.00137544,542831.1524841973,88747679.87624076,160934.2000542268,41970.33538719154,2303504.4778701277,411518406.70737916,542072.5020761101,107733084.92207603,305239.60910118866,56367.83559126648,2286457.126915313,394525034.70463,411740.06301316887,72953795.58606558,455924.33512027125,81051.53965001903,2264679.4218706535,394379530.6302782,423193.985203021,70128062.18482876,604493.0229617059,137478.34220948158,2278654.9865255714,392920464.92510885,563709.9716285239,89360922.43616305,7355.044921875,696432960.0,2248254.659403909,540935364.6095573,357129.69466538646
5,300,293305.9604621505,304988.11330004537,3282.4098854972535,833.6092566677263,2133566.425573215,734722042.739678,541846.016834022,243645937.91416305,174846.29084937746,29784.89446594356,2053487.2457695764,448439894.4710728,411678.41263621254,76421579.09661192,322159.8783235042,45811.4928747096,2143128.3673834153,416664713.45317215,399938.7380683323,59283173.07809663,474120.38486523356,98252.06173655955,2066448.5764834795,410215517.357708,516564.24274418736,85002773.08255944,550531.6025766145,130406.31026686823,2048430.6504751497,357845541.67479956,480201.90671393,84764101.67346436,7298.25341796875,580667456.0,2154517.6502407896,556523177.5695372,370178.2679248293
6,350,289225.0404614044,289225.0404614044,3117.995881060231,802.2901434844027,2026697.3226891502,609875943.9215286,521488.59326486185,87906803.72386003,159723.31543214835,23331.232180173418,2155621.8797504297,408813754.4843345,495385.5690703651,59452467.14187049,280122.1758897614,59882.63263479437,2074128.9486127372,362084699.70807713,506853.4937462973,77408442.28847723,435533.8855674025,73509.90167722631,2088812.2120220186,376766430.0877415,434875.645061885,63593598.19272051,567627.8295366495,106609.96131277057,2160789.6907264194,368958089.19882214,557824.4488806641,69296474.85330087,7251.34814453125,668625856.0,2146508.51637091,498588707.5811184,353188.5451793942
7,400,289225.0404614044,291404.1445388441,3107.3405763875835,664.6434142187516,2019771.374651929,352548901.8037546,432018.21924218856,65807888.618986875,141679.55345417166,30830.825611093824,2038647.8304920276,362250895.48937017,516598.3628350546,78768363.27873012,300195.50264231476,54252.106530083176,2227210.753359431,388026942.6816499,490060.53332178417,70097717.6960022,412612.49967977393,73631.28885255464,1992595.0254311042,356933301.3806605,425484.9215328744,63687201.75040182,599425.8263415728,132314.02764709466,2262267.736443249,389626787.1220224,465460.8980550577,86004117.97061157,6278.9423828125,692787456.0,2071683.1264924062,512240885.8308041,419616.88292820303
8,450,285577.28665776446,285577.28665776446,3193.842194652848,790.3206816936289,2075997.4265243514,701582875.8776838,513708.4431008589,207759602.93360966,172534.80354959852,31990.941745789347,2179724.5890970374,442051315.46166503,472710.7681338121,81975253.93995862,306290.0259373396,59447.90758305114,2177622.5827907813,395999411.13575065,518473.75221970456,76810699.94398743,403889.2162821622,78403.07037897494,2061496.0737224089,349350155.4199665,470906.9276642892,67828408.31428143,541978.545325069,119911.20972341999,1999928.6173773494,352286054.4612951,490889.97654904105,77942286.32022303,6377.62451171875,621428480.0,2086302.256967614,558683987.3174498,407796.02500727994
9,500,285577.28665776446,295006.2037103353,3101.5564839272633,699.6375437526409,2016011.7145527217,717795444.7188447,454764.4034392167,185305987.8648932,151414.68800968566,22929.663059491886,2028617.404562883,387592336.61149406,376723.49297856784,59162165.34694729,336469.4323537835,63938.80271914881,2294424.350001317,435115837.7099171,494321.9847863449,82686309.10579668,421062.37378320575,83149.83598544817,2006967.4701980965,364251734.7887124,435767.6497398521,71934960.27899097,562982.9679210745,109000.85384225646,2098574.5300371354,365938929.1486984,481358.42932872765,70850554.99746668,6906.56982421875,630285568.0,2200975.997231211,521560204.4985337,447763.292284526
10,550,285577.28665776446,290678.65534216154,3293.1460761753847,572.7303269218978,2140544.9495139993,489376927.82409763,372274.71249923366,135405069.66195774,147944.0828380782,20162.218767342973,2142049.1198708205,378228468.0193909,386302.0529662835,51625240.370105065,287269.3561781903,57997.14314711877,2055602.3316592898,371394560.69998807,509350.34974635945,74928760.21953732,432569.6258194942,76493.35365598448,2130524.1463012975,374183500.99479455,492745.915683792,66152393.57507622,582317.0657988696,127121.73197409796,2160622.4153656308,378506092.7692652,495696.2933276952,82629125.7831637,6015.13037109375,591508096.0,2164800.2625664673,528422849.1086164,399969.80888746236
11,600,285577.28665776446,289431.5480974697,3462.5788012657295,734.4130724575276,2250676.220822724,418292874.1909986,477368.49709739303,77470499.72755021,142088.71960130686,30811.48612089653,2000687.5710305746,363428608.25030607,484882.96317847935,78742350.64919828,279600.25810061384,50762.0724388132,2043030.3474940292,361437305.18330395,465978.2639174801,65579919.36863183,447136.65538565686,89991.46551610134,2210207.00556891,386781698.9990462,466077.0417132005,77862846.41096842,574869.5285985054,121637.47311807654,2078247.644821476,373665193.5890284,508753.61619149527,79064357.52674975,7321.96337890625,799207808.0,2273219.3977795416,564758962.8478996,512753.03113903163
12,650,285577.28665776446,290041.2346548696,3060.0301744223293,723.9735559254071,1989019.6133745136,349207865.5316528,470582.8113515147,61633516.469687514,176995.30295086544,30472.688095448142,2202210.386864723,453581156.5116559,515332.18236323795,77980198.3943943,285093.4170429822,67794.88416772182,2094738.6766247663,368526703.4792521,507283.258625834,87762459.37587462,431379.9183246003,89959.20889903267,2081657.889424674,373168709.9181787,465730.76891458203,77829645.74592213,553677.5047814776,115509.46801069254,2012306.5243893627,359890378.10796046,463135.3846145955,75081154.20695016,6223.13623046875,727837120.0,2218001.265404104,558707399.7177682,385162.26687083446
13,700,285577.28665776446,285999.6834272331,3107.6916617688435,677.7720046056853,2019999.580149748,395075613.9347573,440551.80299369554,88435545.01387194,148771.8949439219,34573.37220183127,2107954.8837950584,380483062.20281184,522347.6509374826,88488342.44439153,293500.49687898107,46016.57187425238,2139356.6350765545,379411289.30759895,445565.143078985,59410081.19184494,419450.49082435557,80198.38048915735,2049496.8087729816,362840593.11151725,453664.1729050495,69381818.33511353,565167.8428271379,125989.98980713448,2003431.83711833,367359097.8376397,549475.2894941709,81893493.37463744,3418.959228515625,586569216.0,2119955.6016291566,547493528.5672019,378572.3731076412
14,750,285577.28665776446,298711.0597603827,2915.1887469194467,766.0232820187595,1894872.6854976404,978209125.6167983,497915.1333121937,311872348.48051155,152023.61975966798,37045.326166552295,2148662.9583457313,388815422.5000996,516661.5531759465,94943076.77137506,299412.86907746684,58688.03246062245,2103040.797922278,387133689.00278455,483350.5473383959,75874284.53706068,427439.9534318574,100382.4848324649,2035637.8661083695,369769413.6855736,473760.60466329375,86864752.04341772,611763.6677860017,139127.52249507513,2060318.806851116,397646384.060901,427624.93058863713,90432889.6217988,4427.01171875,528522208.0,2136941.0730303377,564050840.7977241,337577.3510829667
