,Episode,Best score so far,Eval score,"Eval, g: [0.]: mean_agg","Eval, g: [0.]: std_agg","Eval, g: [0.]: mean_C0","Eval, g: [0.]: mean_C1","Eval, g: [0.]: std_C0","Eval, g: [0.]: std_C1","Eval, g: [0.25]: mean_agg","Eval, g: [0.25]: std_agg","Eval, g: [0.25]: mean_C0","Eval, g: [0.25]: mean_C1","Eval, g: [0.25]: std_C0","Eval, g: [0.25]: std_C1","Eval, g: [0.5]: mean_agg","Eval, g: [0.5]: std_agg","Eval, g: [0.5]: mean_C0","Eval, g: [0.5]: mean_C1","Eval, g: [0.5]: std_C0","Eval, g: [0.5]: std_C1","Eval, g: [0.75]: mean_agg","Eval, g: [0.75]: std_agg","Eval, g: [0.75]: mean_C0","Eval, g: [0.75]: mean_C1","Eval, g: [0.75]: std_C0","Eval, g: [0.75]: std_C1","Eval, g: [1.]: mean_agg","Eval, g: [1.]: std_agg","Eval, g: [1.]: mean_C0","Eval, g: [1.]: mean_C1","Eval, g: [1.]: std_C0","Eval, g: [1.]: std_C1",Loss 1,Loss 2,"Train, Cost 1","Train, Cost 2","Train, Aggregated cost"
0,50,291612.00383495726,291612.00383495726,3210.353945248584,702.168671126672,2086730.0644115785,369629285.30721015,456409.63623233687,78070958.46131267,152256.2426425854,33738.408650521604,2253079.4108764,389106992.6380929,551609.438534285,86285461.79440331,289080.4395870446,74519.3037873064,2224261.210935199,373580310.2522227,622796.7532690046,96379929.93978901,439446.8814195181,91254.61136694168,2098590.7097469745,380154433.6603333,484536.46123737976,78946199.1580923,574066.1015803895,125460.57910013908,2206690.3614943777,373142966.02725327,513918.78032189683,81549376.41509037,16248.904296875,607851392.0,2114648.6833950155,508031680.8090776,399654.79474032886
1,100,291612.00383495726,297877.76498070796,3276.8195472897573,904.3209977187574,2129932.705738343,370615084.1176062,587808.6485171926,94145814.77624953,152923.93073034374,26499.057299822307,2174593.9460793887,391078438.06065565,437650.0343513302,67679851.22149405,292952.1014151648,53744.2325596635,2187633.6889990387,378650098.1507153,510427.3775548296,69471177.41792732,465507.445616453,104833.28254799334,2398419.391857855,402640313.07030666,583675.5856820721,90690256.36478633,574728.5275942887,109077.44998321382,2039348.27903099,373573542.93628764,421373.0726349714,70900342.48908903,9205.4267578125,638671104.0,2071051.5512834268,490303407.3998359,391434.84001742577
2,150,286261.5548148487,286261.5548148487,3139.217139834215,591.5420573342084,2040491.1408922398,402837901.6135977,384502.33726723527,90138342.56716816,153068.6497007944,30392.66764716535,2189311.491806061,391410554.7466471,534939.4950338464,77932307.46863216,291537.01972187817,54948.58712381819,2182809.719446734,376815315.91899496,513978.6607964755,70973270.43586928,411574.67414338136,93038.04569545227,2017380.5404304606,356025590.7441203,511514.8358313039,80486398.59031321,571988.2133683554,105131.36643549443,2074338.562270932,371792338.68943095,494945.8190892641,68335388.18307137,8279.412109375,564049728.0,1963761.008673753,468577443.8445898,422933.28103036864
3,200,286261.5548148487,295631.1498640234,3233.4089062813873,779.045480756264,2101715.789082902,376252387.97818667,506379.56249157165,75069779.85069561,145597.64046966017,28776.020208870337,2113958.699693351,372211989.1220364,440089.698693128,73719533.5564123,274058.99738686444,54029.357620807714,2049368.966784581,354227327.63613915,463816.4905331534,69845845.41530268,444618.39202414604,119462.63778111376,2204803.7473342163,384601005.17181516,719278.680228172,103305236.32227573,610647.3105331649,129272.559590871,2282753.3810591595,396920751.8465571,521646.48297971056,84027163.73406611,10583.115234375,555434752.0,2138475.197978945,483539228.5314323,327695.96095841064
4,250,286261.5548148487,296056.11076857056,3450.8928519228602,670.9713744576167,2243080.3537498596,452796356.99821115,436131.39339745103,66584577.9812137,144779.37827289425,27563.32532854611,2132020.7805450573,370030321.1678898,460567.4206955517,70658223.5380656,289994.77360223455,56769.17308600689,2118579.317109086,374874626.36579597,477292.51014468056,73394352.71079297,432719.6528895873,59540.76428488667,2244300.486718061,374275599.00873643,395176.89451670693,51513293.00076463,609335.8562262141,127973.93328108291,2121695.091970938,396068306.5470393,519943.25115530816,83183056.63270395,5894.63525390625,531293216.0,2140124.364077439,472325017.3535846,340826.1448339967
5,300,282970.32255523215,282970.32255523215,3069.01328151058,767.1511991003806,1994858.6329818768,380151435.70281357,498648.2794152473,76508918.07128115,140952.52483452874,33002.97145889491,1981388.3300681147,360532399.5795705,555591.5517511977,84349321.77715984,287098.46856075,67927.6845852208,2033319.6339632454,371194689.49501187,549051.7900098162,87808594.45812447,416173.44864046515,84748.5036636529,2060724.388570488,359996747.35887975,405358.67017356737,73337131.67006606,567558.1574589062,107821.72119318176,2122650.7280982276,368912802.3482891,516067.22821211274,70084118.77556814,5626.9716796875,576036736.0,2201022.76188173,486805040.16374016,392439.394667302
6,350,282970.32255523215,286359.13275380863,3500.363308787104,865.6309144141475,2275236.150711617,481941987.7158774,562660.0943691956,96889873.70788836,145129.7000816338,33825.619043826526,2164983.5302004428,370842269.6216467,572705.337089383,86449109.744533,277474.1741445334,55143.72186526397,2079747.4389035883,358636678.9489899,532500.0459321243,71307727.68645377,409888.28257604653,71032.4529807859,2017827.2487871717,354563902.4829779,494184.5208160361,61438525.50408124,595803.1436580422,110442.46479745295,2187547.0474150227,387272043.3777274,492891.50159501215,71787602.11834441,6142.46875,521399968.0,2081417.2750622556,503501860.9206363,335283.7081240726
7,400,282970.32255523215,285196.5429177436,3087.6952871964136,837.3947942086124,2007001.936677669,541369449.1312404,544306.6162355983,79482270.81623282,143997.9476830637,33496.85192899848,2143901.198366729,367962960.3808655,584866.9772944435,85546279.22255273,289759.0253187849,68693.74997781299,2065307.3942629858,374621425.5201573,553468.3800421432,88810643.41774239,428922.9245361788,76140.37300575028,2128400.7089600237,371023734.36170167,526611.5050731609,65844205.95960618,560215.1217634942,110299.31895047564,2114245.776470439,364139829.14627117,484782.5724765128,71694557.31780918,6174.58544921875,720608320.0,2038714.1845921355,502370168.7127211,363687.61807662115
8,450,282970.32255523215,300396.42898533226,2958.959828984359,664.2795600865298,1923323.8888398337,355808505.37316054,431781.7140562443,60209064.63988208,185975.00085705437,30352.235046647267,2145410.691852604,477098770.1527835,473243.4369244007,77970809.71126874,305828.6664127313,57681.05705204424,2175995.336200663,395401271.00034994,428128.20836847875,74623017.35115395,436722.6997202376,92564.23610096205,2235994.477073911,377747674.9318479,463568.8041848872,80089400.74720286,570496.8181076535,125238.57182530424,2156960.9566686056,370822931.76997477,492644.9781101766,81405071.6864478,4605.4248046875,578788672.0,2174346.341262704,506313515.00987846,413886.574977887
9,500,282970.32255523215,286349.8530599439,3489.8606120651534,718.9007588781313,2268409.397842349,461843076.0103063,467285.4932707854,119198638.83761878,150516.21113440307,27521.584291633135,2224018.6611939208,384670092.96586627,462212.91825223545,70417098.45601872,277298.3249292236,60982.24676979901,2078364.8714368148,358409457.5365538,642381.8021174284,78695286.2170949,427734.18522147747,84006.33466194835,2054238.696434788,370018214.2931356,531212.1886240429,72647757.6946305,572710.6834025502,91957.83001713284,2110223.3969803457,372261944.2116576,423187.32032564806,59772589.511136346,5268.501953125,588945920.0,2106292.29294375,474816604.9007876,383404.19178537675
10,550,282970.32255523215,311216.7585527288,3329.0986458955645,869.721203887495,2163914.1198321166,418040874.1204559,565318.7825268717,118228063.54836051,172914.9368649554,30947.231253591155,2195599.3117316607,442992037.913689,488305.53661763936,79155776.75516984,293139.36975355295,58266.71673498713,2148833.9459953615,378932346.73362345,464472.56169784674,75370158.13111556,448008.1989420153,104188.47663764423,2029442.1943606953,387597291.6849597,523561.95292953466,90155137.73064743,638692.1885572248,126774.18773983112,2141992.847400129,415149922.56219614,543649.1825478808,82403222.03089021,4302.84619140625,553098624.0,2089976.6199297723,512682118.99287397,389695.06802641007
11,600,282288.46573656343,282288.46573656343,3108.6922473130103,676.4728217970852,2020649.960753457,409634525.81859356,439707.33416810527,47993419.897100285,144998.13594420688,30351.832807134375,2171162.3003259026,370481666.55396014,514940.18756309175,77557919.32350133,261570.4489492476,51162.85322756331,1851584.2408059265,338189999.39321595,401943.72629965877,66169521.02300791,441325.58595225506,98934.88306320441,2119684.6560046445,381775612.9399529,522382.9951857963,85589926.93597761,560439.4655897948,106175.68678924488,2092891.6162456407,364285652.6333665,470033.8126742383,69014196.41300917,9294.361328125,603646464.0,2055897.9954119215,502481849.81167513,391967.29784588807
12,650,282288.46573656343,287034.6052033634,3193.3308030595863,728.5908049679546,2075665.0219887313,682189408.981438,473584.0232291705,205216772.65690887,152155.11259597537,31932.283549242686,2173690.7324299337,389082220.5522462,535222.2846514737,81700358.65197244,288311.8732933009,60243.6011290119,2164442.470138334,372640992.81115276,509696.95170324144,77872760.41283026,419572.2258259503,87297.09608321449,1997201.4947543081,362963528.5509056,426944.55298526137,75547243.55966958,571940.4834985307,118445.16499065832,2137092.1485540783,371761314.27404517,526726.8905222783,76989357.24392791,4048.66015625,615137408.0,2106450.7786993296,505121460.7998462,382637.21102837264
13,700,282288.46573656343,339409.25958553003,3015.6269285097765,958.9064565825776,1960157.5035313547,759014810.8363776,623289.1967786753,189980747.18612102,149162.32705659294,46361.37831689219,2059308.1731174982,381644125.82778925,449390.3086718521,119908091.46437651,376942.92764579394,106151.61843263528,2220051.409736561,487805754.5297956,508541.22541998065,137659434.27560422,526097.4591157922,131391.04277771807,2101185.013281725,455250736.2292591,518114.39174627233,113741083.39037724,641827.9571809615,133611.9274873773,2058557.0329950838,417188172.1676251,401245.9495313125,86847752.86679526,5141.57861328125,558229568.0,2148795.4137643347,492260467.0489597,348001.5940114969
