,Episode,Best score so far,Eval score,"Eval, g: [0.]: mean_agg","Eval, g: [0.]: std_agg","Eval, g: [0.]: mean_C0","Eval, g: [0.]: mean_C1","Eval, g: [0.]: std_C0","Eval, g: [0.]: std_C1","Eval, g: [0.25]: mean_agg","Eval, g: [0.25]: std_agg","Eval, g: [0.25]: mean_C0","Eval, g: [0.25]: mean_C1","Eval, g: [0.25]: std_C0","Eval, g: [0.25]: std_C1","Eval, g: [0.5]: mean_agg","Eval, g: [0.5]: std_agg","Eval, g: [0.5]: mean_C0","Eval, g: [0.5]: mean_C1","Eval, g: [0.5]: std_C0","Eval, g: [0.5]: std_C1","Eval, g: [0.75]: mean_agg","Eval, g: [0.75]: std_agg","Eval, g: [0.75]: mean_C0","Eval, g: [0.75]: mean_C1","Eval, g: [0.75]: std_C0","Eval, g: [0.75]: std_C1","Eval, g: [1.]: mean_agg","Eval, g: [1.]: std_agg","Eval, g: [1.]: mean_C0","Eval, g: [1.]: mean_C1","Eval, g: [1.]: std_C0","Eval, g: [1.]: std_C1",Loss 1,Loss 2,"Train, Cost 1","Train, Cost 2","Train, Aggregated cost"
0,50,295401.62221638777,295401.62221638777,3387.3888042911785,913.3340837246233,2201802.722789267,369305172.52761704,593667.1544210049,84863921.20904984,157061.06191764437,30994.53584966565,2134367.573377519,401955658.2657427,511408.485593389,79213687.10467006,347479.5515560379,74766.34111353045,2155889.64945466,449567527.37339455,548830.7953251415,96704501.11910118,416098.83003838285,78242.55304911178,2103890.369775723,359917689.24333984,545398.946389347,67658915.32572961,552981.2787655826,116425.66163485583,2070139.942426811,359437831.1976286,535770.5857998366,75676680.06265628,15968.08984375,718710208.0,2196257.154794037,544809194.9065784,413186.2076171464
1,100,295401.62221638777,298649.7416590407,3251.651165263225,748.3286951474194,2113573.257421096,536015524.9490109,486413.6518458226,106023382.16435046,190603.8968108508,37991.83402304485,2007221.0983503524,489548468.41316086,508693.79863812897,97389067.32595342,308256.62345565227,81371.59274791363,2167049.5826830463,398566560.9096648,456365.442501322,105381263.37097022,431535.281747299,85153.90172542188,2111473.187777778,373293419.78506666,466827.442267531,73675776.25470182,559601.2551161378,115685.03112254386,2073907.819757351,363740815.8254894,525506.191248365,75195270.22965352,14122.5205078125,788589888.0,2145254.573337805,509037153.9719693,414376.1618043467
2,150,295401.62221638777,300039.60000460554,3127.243937078551,585.5546005887393,2032708.5591010584,371824586.0078819,380610.4903826804,57746382.650964655,151018.40679031485,35643.75550138074,2004782.3112316194,386633510.7211238,529548.1928155866,91213449.94073588,344055.3819939577,65039.93336455557,2156731.0964004276,445115265.4957445,515995.8789827062,84102697.75532816,429228.6070825885,78351.46480106883,2130425.2295330022,371287984.3950656,389779.8262883737,67793030.4001864,572768.3602190882,95612.86208978889,2210430.372042328,372299434.14240736,419254.8960364867,62148360.35836276,8189.96435546875,561501120.0,2081457.60422984,511101101.1158692,378719.4860871609
3,200,295401.62221638777,328612.36016871023,3353.1886751667794,789.9209698675141,2179572.638858407,667339486.8569213,513448.6304138842,275058951.714713,163906.18431675385,60992.71533636229,1960327.7916303528,420275095.84866893,532190.2400002653,157240491.33144885,323393.99164744647,93617.18652078228,2079943.2005489124,418332245.94113153,541178.265699921,121206792.43315868,505813.5266255091,118095.39835716829,2135895.220302277,437659758.0020071,406555.8302822614,102237244.93837735,646594.9095786749,142746.32633098302,2167807.5458695884,420286691.22613883,511322.2677246957,92785112.11513896,13177.6875,692458112.0,2097361.640262438,485461640.1203275,357884.34493537585
4,250,288999.6223127656,288999.6223127656,3314.9309853377586,732.9851909199763,2154705.140469544,391166452.4705164,476440.3740979847,82739955.69704854,138583.1079892126,26452.92091413823,2036748.8080392124,354205834.34783524,486271.2247487683,67559140.70150658,281499.2894491826,56795.355172242045,1982490.2903373365,363966585.9936,476926.5007409634,73423474.74706121,451373.0018756764,100417.64515182437,2199186.3858799497,390456872.8302928,528599.4836252242,86877515.90324955,570227.7812644187,140630.76281210105,2054936.0114364848,370648057.82187206,566980.7306761892,91409995.82786568,7797.7744140625,731913920.0,2134228.4212952824,533726694.1673597,412798.063302229
5,300,283148.17634347995,283148.17634347995,3396.3091334361384,565.2110182970443,2207600.9367334903,549500100.883903,367387.1618930789,170406574.36122662,151340.92600023843,31466.51005728887,2229216.083255389,386798759.35085374,497417.3417098537,80543870.16304217,290255.15679273015,54699.112922782704,2089718.094198228,375241985.7363509,522766.52982719016,70638184.6272841,403889.01110183477,80810.41349914767,2035619.5439297399,349358603.1069469,401763.02213706763,69940933.60369165,566859.4786891603,121320.9174277341,2176171.560999915,368458661.14795417,551984.9715401313,78858596.3280272,5911.392578125,589040512.0,2082636.4350363738,481406798.2015556,395789.9818706587
6,350,283148.17634347995,308595.8689344598,3047.393113870586,695.233717567438,1980805.524015881,521235706.07097954,451901.91641883465,237680397.5172582,174155.80236612685,38109.84984415464,2202516.9868333386,446197535.19142985,568369.0004436839,97533328.22688355,326228.40286748414,61754.34133281122,2213097.1818070724,421883826.54592246,534024.1527979454,79864452.65052399,440942.45848481206,97032.62473529203,2050680.7716369827,381466570.4296249,473444.3200072178,83971397.02383225,598605.2878400054,110279.76807359989,2279826.85027453,389093437.0960035,502602.2979319336,71681849.24783988,7923.5126953125,610915968.0,2025411.2321648074,555375629.600147,439962.5851764586
7,400,283148.17634347995,295049.91942245036,3147.409711758906,741.2914691199962,2045816.3126432884,599561924.9148973,481839.45492799766,173620300.03848135,152174.94402245834,34869.29631123365,2136572.5355882104,389245136.85162705,552844.2335238566,89157656.85676186,294445.6497354495,62174.85985451056,2114613.3343461356,380664731.3217381,511650.1296124236,80376872.83870909,431608.51896223164,84954.28866891381,2214684.469027454,373322488.27759147,492946.9157404926,73494626.56591304,593873.0746803533,116950.4691179878,2188813.89013219,386017498.54222965,477622.6703959712,76017804.92669207,8414.8544921875,682313856.0,2052781.3225465533,507349100.2276454,386299.29599450296
8,450,283148.17634347995,298903.5409829266,2962.4059885121214,668.9021885054474,1925563.8925328788,636288984.6636186,434786.4225285408,156646890.59764835,151712.61445022468,28650.143996911105,2265225.855082584,387657120.00533646,443475.6451712185,73409849.14981146,307466.965662202,55008.37254680389,2312361.692009847,397394693.6688527,442694.96532976226,71176684.3687122,451000.1838954022,84352.1935454149,2177569.6256416906,390140969.50080127,481229.42467955005,72972692.08145082,581375.5349182922,109454.07060364312,2073268.7111397723,377894097.69688994,507775.6136512922,71145145.892368,7239.09033203125,733292608.0,1999752.4367893534,522512065.28197235,396240.49292239075
9,500,283148.17634347995,319071.01752687036,2983.207205844782,712.9192876732199,1939084.683799109,572685171.8564147,463397.53698759293,190732760.97046432,168149.1281175894,33767.11405520989,2167237.814670774,430686019.6617202,548651.409316166,86345163.21038777,351288.7051057331,50697.461897793066,2300915.959911989,454374400.6775411,417495.1682305281,65589809.51759354,499992.2192269053,118788.31056430966,2142112.049088164,432612552.6469553,508781.06410521944,102815865.76098582,572941.8279782792,93065.33694958701,2140001.3722650865,372412188.1858816,483774.4900328959,60492469.01723154,6429.35595703125,552985728.0,2184791.875346999,552919588.5834407,407569.73585411406
