,Episode,Best score so far,Eval score,"Eval, g: [0.]: mean_agg","Eval, g: [0.]: std_agg","Eval, g: [0.]: mean_C0","Eval, g: [0.]: mean_C1","Eval, g: [0.]: std_C0","Eval, g: [0.]: std_C1","Eval, g: [0.25]: mean_agg","Eval, g: [0.25]: std_agg","Eval, g: [0.25]: mean_C0","Eval, g: [0.25]: mean_C1","Eval, g: [0.25]: std_C0","Eval, g: [0.25]: std_C1","Eval, g: [0.5]: mean_agg","Eval, g: [0.5]: std_agg","Eval, g: [0.5]: mean_C0","Eval, g: [0.5]: mean_C1","Eval, g: [0.5]: std_C0","Eval, g: [0.5]: std_C1","Eval, g: [0.75]: mean_agg","Eval, g: [0.75]: std_agg","Eval, g: [0.75]: mean_C0","Eval, g: [0.75]: mean_C1","Eval, g: [0.75]: std_C0","Eval, g: [0.75]: std_C1","Eval, g: [1.]: mean_agg","Eval, g: [1.]: std_agg","Eval, g: [1.]: mean_C0","Eval, g: [1.]: mean_C1","Eval, g: [1.]: std_C0","Eval, g: [1.]: std_C1",Loss 1,Loss 2,"Train, Cost 1","Train, Cost 2","Train, Aggregated cost"
0,50,332525.6285607203,332525.6285607203,3303.8797076440756,756.7578994934871,2147521.8099686494,446110499.9599825,491892.63467076694,85929073.38634689,168386.5136018308,36755.33842141474,2155494.5354365194,431338451.7584506,538176.7489852983,94168427.91122034,338452.5010827003,79492.03927436312,2133692.1803621002,437854559.22714835,556799.0140225274,102826842.37332627,477364.67693752755,120270.41098274337,2103988.5805961685,413014723.81899184,483332.2955965634,104104061.97082564,675120.5714738985,157136.90506690924,2195204.8501135465,438828371.4580339,483073.0583888748,102138988.293491,16768.390625,659408256.0,2080797.087851693,519361943.52961653,430461.03275231837
1,100,291575.90431634954,291575.90431634954,3088.926868949367,854.5319355519213,2007802.4648170883,550451611.7206105,555445.7581087487,136326560.62818003,150983.50952842194,32490.51933437574,2237606.382115238,385844305.6275512,514106.55945007055,83138361.12775587,282977.1215964852,55891.665168916945,2066046.9105573543,365804211.1648734,491424.1885940479,72240888.80783303,447197.1524367715,84585.7305352669,2294798.4456245364,386805932.62999403,499022.81649775093,73164893.83915326,573632.8111511195,147001.2494701309,2093251.9380199248,372861327.2482278,585365.5876510461,95550812.15558507,8336.541015625,574475392.0,2147810.865787421,487895891.1007006,431228.7580108502
2,150,291575.90431634954,296360.25034573505,3394.2509134210536,695.4435789342726,2206263.093723685,403960806.5839584,452038.3263072771,96398607.01408042,169539.78748451613,39722.597785129445,2129122.47393431,434416080.0379391,574478.1575497632,101678819.32958855,298823.5991326632,81562.26179267398,2064471.4762765316,386406207.3961856,613545.7993848649,105450340.4487905,450204.7679977241,99668.06481955228,2252812.4771949737,389426528.1056292,499472.8458162002,86254452.09499304,559838.8462003507,100406.09870994827,2001848.1878582349,363895250.0302279,472622.1135346856,65263964.16146639,9509.76953125,634681664.0,2220852.211662012,523456630.07596755,366183.72767383425
3,200,284931.20608065353,284931.20608065353,3601.739958284873,667.2406602403627,2341130.972885167,444834546.4042941,433706.4291562359,82207613.81951545,150209.80104723913,37010.9140439422,2222111.7417458473,383879147.49758434,576598.1345910144,94611764.15128867,289418.10373178404,54198.94800994917,2136524.348508639,374107010.50281084,474871.45283142535,70034992.57786618,432865.39611196297,85560.22144697075,2114148.8833807325,374445293.669241,478472.7054324913,74010493.85739261,548560.9895539966,86415.3665093633,2058852.0607559967,356564643.21009797,433926.83252930694,56169988.23108614,11132.2958984375,622772096.0,2118062.6618552324,520829943.20522857,355472.135037762
4,250,284931.20608065353,328285.2505342782,3079.621998385713,809.3705907719096,2001754.298950714,556655047.6611413,526090.8840017412,147207097.20581126,177770.6607655956,32214.794591345308,2287313.3715175707,455341777.87599576,471605.2347480512,82741228.2314583,345391.4783221252,52080.77665184098,2246763.1732629766,446762158.6454999,330774.5158464487,67563516.44827381,577447.8133057731,136477.685804593,2067774.5678150288,499765513.34239835,672882.7083760493,118070932.78778592,537736.6782795117,118868.75756235555,1954824.4198310948,349528840.88168263,409794.0062954266,77264692.41553113,7017.3212890625,592872256.0,2113603.9437606363,537914823.1132786,430287.3774751255
5,300,284232.4417426648,284232.4417426648,3032.55640226339,841.8559740275031,1971161.6614712025,366218293.0761231,547206.3831178772,101609428.60417125,147132.74780954988,36253.50888014976,2139404.6998219625,376126930.20536387,566140.0439603544,92899186.96619016,295737.95695943653,50818.73511272395,2184498.36923,382274845.67803764,480321.0116799775,65652340.50646802,396903.3309494758,88790.99037405087,1943805.8079663655,343334951.55355704,542197.2803022548,76803894.5985872,578355.6165925984,114336.11206459845,2131781.899253883,375931150.7851888,514815.15708619356,74318472.84198897,7175.693359375,640708864.0,2206094.3227619384,529696090.4344453,419095.42007702397
6,350,284232.4417426648,294013.2987716852,3245.637451163761,742.3834913439376,2109664.3432564447,569020667.4444212,482549.26937355945,119226311.64815909,149762.2182754542,26870.176685928476,2174743.322568926,382857537.5484741,471722.696492991,68637493.2256037,292692.75460636884,65286.64160913526,2166042.6462784256,378334538.34200096,544429.7583140739,84387078.30348027,438531.7535372279,99043.5218893683,2119155.655083297,379354467.84723634,568341.5510148813,85665469.70324077,585834.1299882114,121261.43629001679,2125386.3930070037,380792184.49233747,556780.2546496147,78819933.5885109,7749.9345703125,624939072.0,2056312.9322994426,442509004.94520205,373513.29516958277
7,400,284232.4417426648,327669.0544967366,3162.1317839048784,787.0432464066121,2055385.6595381708,369540637.406615,511578.110164298,92442545.41544132,231913.70504141945,60065.26251557716,2227746.799585652,596292392.7089335,521414.39049381146,155641319.5467098,421555.17004183383,145000.20555906845,2055088.3034207153,545966632.7509631,438698.99179707706,188198870.91071984,413158.51594332705,106927.91526535281,2018587.6763694019,357397851.2587602,550214.9244757297,92523868.12143165,568555.7496731981,115624.40513257489,2071817.1834763123,369561237.28757864,476291.28184465173,75155863.33617368,6171.408203125,687540224.0,2198941.8108751616,553431100.3416373,439873.93854643573
8,450,284232.4417426648,311242.66497515875,3261.2143549988878,732.2254423104549,2119789.3307492775,405967619.8179101,475946.5375017958,86041463.59847906,159977.93791986158,25961.94339623208,2097782.30571852,409649291.67448455,515434.69163258385,66219361.00466805,301452.0219059435,70889.12649917183,2111950.4681981327,389775678.0095284,559761.9174983759,91641409.06595625,477144.7248507534,84669.0319139674,2028648.857717396,412849211.9180805,452507.26363187813,73256536.48406446,614377.4258442365,124028.69270813717,2020377.7151172736,399345326.79875374,454307.03897437407,80618650.2602892,4259.1171875,558426176.0,2122736.921294403,501356042.3256846,341322.35689691664
9,500,284232.4417426648,288932.3147518913,3216.0905960020236,640.7801738410551,2090458.8874013152,737462885.3655193,416507.11299668584,344543100.88606566,141432.60232482722,31692.102782012997,2070309.9812504584,361513836.10079944,512510.9101918184,80991367.84476796,291492.75117247883,66316.4275393712,2141135.1756726624,376799441.3485498,574372.2542748053,85682129.80630557,425977.3633698712,70065.41100769611,2107416.872416635,368477909.2964161,456672.046178146,60595841.000467055,582542.7662962773,121659.51899985195,2230708.547566955,378652798.09258026,587529.2765574267,79078687.34990379,6529.5166015625,656323904.0,2160625.785453913,585784204.0264314,415668.8187879946
