,Episode,Best score so far,Eval score,"Eval, g: [0.]: mean_agg","Eval, g: [0.]: std_agg","Eval, g: [0.]: mean_C0","Eval, g: [0.]: mean_C1","Eval, g: [0.]: std_C0","Eval, g: [0.]: std_C1","Eval, g: [0.25]: mean_agg","Eval, g: [0.25]: std_agg","Eval, g: [0.25]: mean_C0","Eval, g: [0.25]: mean_C1","Eval, g: [0.25]: std_C0","Eval, g: [0.25]: std_C1","Eval, g: [0.5]: mean_agg","Eval, g: [0.5]: std_agg","Eval, g: [0.5]: mean_C0","Eval, g: [0.5]: mean_C1","Eval, g: [0.5]: std_C0","Eval, g: [0.5]: std_C1","Eval, g: [0.75]: mean_agg","Eval, g: [0.75]: std_agg","Eval, g: [0.75]: mean_C0","Eval, g: [0.75]: mean_C1","Eval, g: [0.75]: std_C0","Eval, g: [0.75]: std_C1","Eval, g: [1.]: mean_agg","Eval, g: [1.]: std_agg","Eval, g: [1.]: mean_C0","Eval, g: [1.]: mean_C1","Eval, g: [1.]: std_C0","Eval, g: [1.]: std_C1",Loss 1,Loss 2,"Train, Cost 1","Train, Cost 2","Train, Aggregated cost"
0,50,282934.4522779084,282934.4522779084,3239.2285572308388,699.2416419185855,2105498.562200045,391571078.6124241,454507.0672470807,58503075.35438232,167982.8048141966,34213.40336792958,2065671.4838659943,430558278.0653132,486243.8504869922,87691673.82053973,272078.09149498685,53213.52653858797,1986858.4852468276,351714660.458236,375512.95487089077,68890193.60003631,412277.39989770966,90065.60474861477,2001520.1250559432,356639906.5363297,430567.21035737055,77948525.99882615,559094.7366254178,114738.77007086002,2142555.2119797785,363411578.8065216,509265.4886189225,74580200.54605901,21162.1171875,800960512.0,2158938.5674771382,519696679.77783895,358401.7358296977
1,100,282934.4522779084,326894.5075024871,3320.9827057387465,836.0491883630444,2158638.7587301857,658153838.805103,543431.9724359788,238989011.31601986,191652.39988650795,73880.26532413859,2069225.7746305724,492088562.38102907,370622.30489758664,191323467.82744402,360432.6434084973,144757.99523494043,2141859.8273209725,466420576.60372543,586271.6037606912,187711331.7462734,440443.4086125084,139014.024162873,2042761.728167544,381036700.2214516,479895.81124802853,120356435.80344707,638623.1028991834,165147.29288227635,2084321.3035389753,415105016.88446933,467691.8837852117,107345740.37347962,11908.3857421875,679706368.0,2111664.9751380133,493938481.3633522,387032.7975327801
2,150,282934.4522779084,293479.28745523485,3169.592538690334,714.028880750953,2060235.1501487172,376730158.7851874,464118.77248811943,69284950.31184584,145695.57354422045,31212.377719366938,2163999.026526958,372316494.13539237,534267.1068080511,79938362.38641478,306678.6827117597,63294.958883328174,2300412.170370072,396381875.3549175,513057.03154984023,81858716.76197773,438430.7973950897,104375.73421003191,2137586.044144978,379260829.06102955,551953.2199985828,90300285.28525506,573421.7910864142,138084.49143551095,2004906.834729401,372724164.2061693,445237.00484496326,89754919.43308209,12273.3525390625,632248896.0,2163081.8151083826,528612812.3977936,375833.7288835977
3,200,282934.4522779084,294779.20719640574,3310.3862410751694,776.2163763834304,2151751.0566988597,528602831.3075656,504540.6446492297,113664725.19150515,144995.76711792528,27407.30223813031,2013690.9729125926,370947921.58786786,452689.97597005294,70030551.39926882,288344.68668062973,64376.29878802498,2166432.1692613703,372681660.5155574,543463.9161846949,83199414.10836336,444601.2162374704,99246.07417683053,2178249.4066999424,384594970.9369077,485640.0172099222,85870732.28625913,592643.979704928,98305.82172293466,2219295.2494487753,385218586.80820316,404329.12056253187,63898784.11990753,18843.685546875,868420992.0,2157116.025769398,524455975.80764115,325915.0802777184
4,250,282934.4522779084,287064.1067059623,3197.805446993943,665.6388130176342,2078573.5405460629,616043721.5082973,432665.22846146225,152529948.52865735,149220.60312944683,29604.556408533485,2192704.3396149827,381395455.11771667,496559.38177720096,75753158.22558717,281693.99648314423,48147.87523678192,2117150.504092067,364085044.92399544,467356.2106189845,62220019.384981655,403898.88161533006,83392.60412051131,1888104.7029908719,349416329.16562235,513557.8881945475,72119816.60407223,597309.2468548962,142372.64610658397,2213941.3190505607,388251010.4556826,599798.085543215,92542219.96927962,7953.54443359375,698416192.0,2169558.2376170554,560723740.9803394,337152.8614938528
5,300,282934.4522779084,287471.84179300873,3361.2490559878925,744.866727652122,2184811.88639213,578582648.9213849,484163.3729738793,202665553.3595266,161283.60830339557,38365.627499342096,2164022.2748971684,412845314.764137,500768.20419379236,98421080.87513655,284900.5775712799,48848.41998360347,2078937.4596764555,368291813.38298744,433978.253332649,63121086.402903005,419129.3375246123,94726.4593767519,1985082.8502400273,362583731.5712506,528896.3421898995,81932090.87393197,568684.4365097678,109583.35952463825,2129242.160656614,369644883.731349,457351.0878196677,71229183.69101489,8527.529296875,736189312.0,2079242.472317003,545180276.9396355,378309.9109068486
6,350,282934.4522779084,301014.2613683288,2869.2352874948815,716.693981412279,1865002.9368716734,342220621.7779256,465851.0879179812,64110705.99947026,149521.6941230203,28640.19628189288,2136249.7842393005,382347655.3671348,544445.9156510574,72935733.83041736,282229.39383334183,53675.84524720072,2087218.3422693652,364810993.6410751,441373.99748454976,69413450.29929806,472502.1169042975,79341.41778278403,2315995.304454757,408729836.21557295,421786.94992853067,68644619.67602724,597948.8666934894,101881.14810265972,2217936.138626737,388666763.3507681,508259.9078437809,66222746.26672879,6721.5576171875,603183232.0,2174190.1183463796,509065643.2195721,385612.49239392387
7,400,282934.4522779084,286921.37698460947,3442.2586311855016,821.9279826027195,2237468.1102705756,618909241.9666419,534253.1886917677,151760951.0866142,147913.49655063372,34091.30681277461,2271331.989193219,377761095.06406796,518253.6898971908,87517669.93332246,292087.1935026183,71700.27921519698,2182501.007463084,377530850.5459406,612034.4649239687,92652404.7710973,419656.04200943426,82067.69446695245,2007192.9010101631,363032838.7745062,491741.90716207464,70974872.1565487,571507.8942291755,106483.73150391915,2184870.3023274504,371480131.24896413,482740.7165171428,69214425.47754747,6315.322265625,708857920.0,2079922.911733065,471970512.18936545,337723.83355435083
8,450,282934.4522779084,296779.312944413,3285.0169314988334,754.6992836366397,2135261.0054742424,523624299.96472234,490554.5343638159,123497383.28558262,163966.51154387288,30533.61126033349,2169825.5344218705,419803453.41080385,403182.38026762614,78645735.70623696,286103.0036285126,55210.747350988146,2139323.2502876837,369794581.46677864,501247.30655120185,71370058.71574742,437216.2037744491,94757.3853108973,2122924.9029901866,378213068.30352575,485523.585971829,81970493.59328552,593325.8288437315,108963.79545857364,2229368.860284461,385661788.7484256,580221.2473331353,70826467.04807289,5135.53564453125,608533056.0,2030553.9160547715,469082326.87270623,397178.35306066135
9,500,282934.4522779084,290528.1499118233,3036.029401534009,779.3127428262651,1973419.1109971064,726875146.2413775,506553.28283707233,149476854.75504687,149046.64483637174,32354.846477408224,2097333.2592183496,381229276.7969114,497505.3060404278,82836279.12125823,306569.6778056498,77971.19122906645,2326179.7861139,396214401.3612309,564235.6531086954,100849255.70261487,440992.3918365235,85322.41726598727,2186458.8504004623,381464586.6415202,521935.65841995325,73794837.77457802,552996.0056790372,95067.71782193256,2029432.2680568362,359447403.69137406,429966.4986049847,61794016.58425619,5073.94287109375,659112128.0,2073657.3069656775,526299353.3074515,405656.1216173741
10,550,282934.4522779084,287310.01439800917,3378.6867479098773,892.5522558240531,2196146.3861414203,700670958.093887,580158.9662856343,160005297.94428122,147637.80376006934,35028.72751683144,2179202.9401274603,377320680.9557979,593894.0064872974,89540654.51073746,274184.3095612662,53880.237647652306,2054690.8985342435,354384911.5311117,503343.33585157973,69594546.0271911,418353.75949379394,88733.11762349334,2052653.8746494318,361889040.26973826,468010.8497733149,76764055.67821297,592995.5124270066,125412.26580835218,2144064.020431785,385447083.0775544,492179.59535833524,81517972.77542892,4590.51171875,565770560.0,2121650.544898061,546806711.965727,389890.18042159453
11,600,282934.4522779084,308875.4460495421,3277.554914989639,739.9150861791632,2130410.694743265,721551549.2286583,480944.8060164561,146891226.81921846,188229.3751971466,30913.532056153606,2335734.059675939,482389173.3335533,479895.47823367117,79269203.82696451,314040.2271499109,55657.20955432085,2051210.8350019935,406201084.4598821,453927.9891233528,71947430.14562693,436152.80841682985,77866.64475168913,2160536.8794939206,377278921.6680879,388570.3545998294,67396096.55454549,602677.2645688336,124730.86358984931,2303709.695203965,391740221.9697419,602782.4044503607,81075061.33340208,4987.40380859375,695699072.0,2117835.6200832003,528691799.0252604,403893.97051131015
12,650,282934.4522779084,292976.5861006498,3443.070056070897,738.4371574788901,2237995.536446084,712176457.4159132,479984.15236127854,75594649.69487515,151785.48381681513,30521.80796317332,2228656.8682773137,387956287.3188875,484467.91201110155,78163594.73252355,287746.8033650758,40735.84410815791,2156243.737283318,371914600.63731515,364698.7035177601,52772335.18188695,451444.31622278184,87960.64493700807,2216935.2478931616,390512762.3104465,492061.4911324079,76092852.91772832,570463.2570425053,95682.73119956195,2103466.9946884667,370801117.07762843,438770.61534357455,62193775.27971525,4779.81103515625,666752896.0,2180262.3421608093,517107206.2225186,375316.64903437084
13,700,282934.4522779084,293545.68923375616,3442.3799470969143,703.9570109586509,2237546.965612994,653663851.2303302,457572.0571231233,74874496.45107616,151667.36541306393,37716.9125216923,2219164.173209986,387677657.55433613,531995.1686795929,96789308.11493011,300850.0073459663,76982.41077930282,2166376.556715912,388938632.99304026,581968.4135387558,99552304.45152165,461380.1462806268,73234.52907281078,2273516.8425208903,399104954.495703,398396.2783696794,63355759.179906294,550388.5471820268,119120.76943944165,2001501.8328107023,357752555.66831744,518839.1949140669,77428500.13563707,3744.03564453125,611354560.0,2100484.799190406,519473567.9014331,338778.3763913454
14,750,282934.4522779084,309875.7890311082,3511.6090057108663,675.3055563316628,2282545.853712063,609136054.2127773,438948.6116155808,66507946.558084846,211936.09142683816,98664.74456887184,2075100.3896530864,544808536.54082,510951.4350847788,255355534.4516492,330799.1335230436,58430.19710451568,2131678.825699661,427907194.7542572,494370.04517602205,75507400.8738322,428466.910114832,114874.06221521008,2130112.4515609224,370627951.28233397,582964.8184254288,99386055.40539968,574665.2010851162,116371.51921026646,2102376.522202757,373532380.70532566,483513.89204908255,75641487.48667319,4339.56103515625,533775168.0,2088602.8574133038,495196258.7444654,372318.0489324656
15,800,282934.4522779084,291697.8945173232,3082.647127125888,855.295247439795,2003720.6326318271,879307557.3333515,555941.9108358669,248766001.96059427,145681.11349395794,26037.80989815807,2082474.3057074875,372523472.1671682,468350.14568139537,66566662.17125139,300736.24090232066,63353.722268314894,2223483.0762519143,388733630.0967649,491542.4618172979,81931863.414064,423574.46351458586,89737.76099534855,2038078.3759247516,366418508.92066616,487819.70595916855,77624043.89656244,585415.0075486257,118131.07482724084,2170751.4739759206,380519754.9066066,495792.7323502382,76785198.63770656,3679.924072265625,749869760.0,2040419.1721191565,588439106.2135437,418546.40174460685
