,Episode,Best score so far,Eval score,"Eval, g: [0.]: mean_agg","Eval, g: [0.]: std_agg","Eval, g: [0.]: mean_C0","Eval, g: [0.]: mean_C1","Eval, g: [0.]: std_C0","Eval, g: [0.]: std_C1","Eval, g: [0.25]: mean_agg","Eval, g: [0.25]: std_agg","Eval, g: [0.25]: mean_C0","Eval, g: [0.25]: mean_C1","Eval, g: [0.25]: std_C0","Eval, g: [0.25]: std_C1","Eval, g: [0.5]: mean_agg","Eval, g: [0.5]: std_agg","Eval, g: [0.5]: mean_C0","Eval, g: [0.5]: mean_C1","Eval, g: [0.5]: std_C0","Eval, g: [0.5]: std_C1","Eval, g: [0.75]: mean_agg","Eval, g: [0.75]: std_agg","Eval, g: [0.75]: mean_C0","Eval, g: [0.75]: mean_C1","Eval, g: [0.75]: std_C0","Eval, g: [0.75]: std_C1","Eval, g: [1.]: mean_agg","Eval, g: [1.]: std_agg","Eval, g: [1.]: mean_C0","Eval, g: [1.]: mean_C1","Eval, g: [1.]: std_C0","Eval, g: [1.]: std_C1",Loss 1,Loss 2,"Train, Cost 1","Train, Cost 2","Train, Aggregated cost"
0,50,309745.6345178431,309745.6345178431,3212.4789436131523,823.943662978041,2088111.3133485487,400637579.16415703,535563.3809357267,82322668.54666741,171791.8435438633,40774.72115801732,2173950.219503623,440136942.5555337,575839.1945145902,104585513.95916213,320010.358983654,69850.98946027544,2052526.6122040113,413960940.06654626,415362.430958191,90489699.56608392,450757.5466051261,78705.39427579034,2226441.4108793684,389914393.2541495,517239.49601064157,68068457.3729742,602955.9445129589,120318.63335278777,2216784.417729745,391921363.9334232,510400.07860586006,78207111.679312,19672.474609375,746204096.0,2157587.030535054,531914850.1603562,438060.9009708839
1,100,276262.30038925,276262.30038925,3243.6032561171733,621.6974923020871,2108342.1164761623,408278983.56622124,404103.369996357,78011828.89935753,132075.32530006542,21876.08251681469,1905733.1004856962,337678646.47871304,404863.7654935797,55759008.62722371,272760.04864288843,54378.82386991464,1977100.1291414795,352610963.10661346,435769.34965748916,70335182.97989306,422554.58298739017,77451.00589913332,2062093.6732982995,365526607.36463875,472121.67882454506,66995920.57305055,550677.9417597887,118423.69362891102,2056233.4556931157,357940662.1438624,470188.15021130216,76975400.85879214,10273.51171875,641732096.0,2198043.809839485,521198373.4892214,392785.7252691606
2,150,276262.30038925,283643.4559837956,3192.217067917059,618.0072702949229,2074941.094146089,494815196.81739014,401704.7256917004,113049603.35463494,158314.37882373892,35073.02142169395,2286968.606600523,404756479.1219196,584241.1570294632,89549075.13139749,267822.49264877883,42632.470866824646,1978417.8557578353,346190822.5876548,430282.4267748613,55095105.7108505,427249.230560318,74862.50992980959,2102016.2516521206,369581994.4017248,494458.51343327994,64743072.484554134,561638.9608182252,116044.24925958562,2043099.020355433,365065324.5318463,509294.7897912877,75428762.01873067,10003.72265625,622969792.0,2192734.1838262,503701427.9173178,362116.7139928537
3,200,276262.30038925,306461.3091835745,3319.02933410088,806.4870668233099,2157369.067165572,374751741.0227298,524216.5934351513,90173340.88249534,142537.18494533273,30585.034825701718,1973479.6075889736,364676242.0350982,526324.2439353635,78041122.21670923,305091.6144074509,67599.46663874721,2174511.6116821906,394444587.118004,553673.3071243659,87364879.19556881,462773.92471780017,105147.74068387941,2230098.7567331754,400327368.5031823,557131.9221712131,90962677.16784298,618584.792513188,129974.63976177371,2368667.51048316,402080115.1335719,526948.5357480075,84483515.8451529,16732.33984375,729380096.0,2017826.8307971829,456583221.74365443,399232.25443292834
4,250,276262.30038925,293613.5701769822,3312.2903828694475,716.2055058601431,2152988.748865141,441973745.36600804,465533.57880909304,95417169.66452137,163022.204747799,31889.08613047784,2070592.5679943964,417645954.64029413,465175.30138530425,81955912.21162346,292301.4429994462,74165.29435585505,2160950.7976383367,377830925.1016418,575240.870925653,95893660.64844655,435245.8785264433,81707.89473494832,2064140.787532543,376525047.7937399,466545.0528538736,70673636.58591695,574186.0342283532,94311.76802370824,2159848.9100744477,373220922.2484296,493286.1164609775,61302649.21541035,8265.7958984375,663669376.0,2141936.8138601924,505616064.43358886,329179.6012186923
5,300,276262.30038925,281623.70093928184,3202.4074345697795,772.7953065861853,2081564.832470357,501541482.0589662,502316.94928102056,115182750.81317635,151243.31391505263,26606.745007496673,2181623.8369686794,386687744.6682309,472606.39611904783,68043360.31266537,303217.8840062924,51219.58079904977,2274424.391417587,391908824.81676257,449130.20165813016,66245387.163022496,398620.75109358714,80382.53803033497,1979611.3109132177,344811447.17747104,414762.4851382257,69557268.4980481,551834.1482469072,125653.16210031568,2037103.9088168985,358692196.3604897,552727.5062402348,81674555.36520521,7397.2138671875,579123136.0,2074707.1666803262,485190884.4266826,316062.7625221689
6,350,276262.30038925,298433.7850365555,3091.1080614017355,792.4656811752753,2009220.2399111283,382221350.0126592,515102.6927639291,96745392.23581512,165877.93635097626,34601.736908928986,2083216.1836037177,425032985.96172726,475032.54689767375,88746257.76403894,305312.1038001904,65832.59870695681,2143579.780628605,394762155.1596189,550722.1674951139,85068525.13756402,438985.6837866127,85652.59908572462,2176435.9431568948,379728780.6340119,532581.7322482909,74076466.46608555,578902.0931835964,122018.88843031433,2228622.904155674,376286360.5693377,547084.9508565536,79312277.47970425,6789.35498046875,581523072.0,2080681.1811486385,455094983.2353618,364338.3337438287
7,400,276262.30038925,289193.7008278699,3507.9611231312224,717.0445965761501,2280174.730035295,516562204.68474025,466078.9877744976,221274912.166809,153542.26135519447,31476.136947418723,2214369.8230246245,392566770.0544318,571175.3923793045,80281728.00448091,287221.1791955355,51098.77190386564,2193966.4116555443,371193566.5425406,492129.25770707027,66005842.36384714,440636.8289108474,78162.13273884493,2102951.6360502257,381184267.84405094,408183.1931065559,67637008.39934686,561060.2735546407,84725.3932955356,2066377.2361769532,364689177.8105164,433058.29375290533,55071505.64209814,5635.26806640625,635704960.0,2051209.823982526,548105124.4251422,372365.3996297065
8,450,276262.30038925,296647.7261995145,2958.3592545202123,866.0168277623762,1922933.5154381369,574221964.9744679,562910.9380455443,273753315.8264011,146169.76442348777,31954.525837879024,2121811.1705626766,373675953.98938,475130.4238124793,81873681.53040728,309578.7489935285,73738.03400602286,2265208.5189568377,400187165.17263025,590838.8912545863,95319073.39594802,424169.4616636209,63579.45374911683,2023667.2950668156,366938977.6767825,405367.8884917721,54991571.183962226,600362.296662415,103245.33784954794,2272408.5739867645,390235492.8305697,428806.80212849565,67109469.60220619,6363.578125,633505728.0,2009708.2015945965,475506685.1411678,410842.0031792301
9,500,276262.30038925,284146.86940824235,3316.8348212732412,692.0989578425008,2155942.6338276067,497034631.0534465,449864.3225976256,208380270.7330339,136684.2602079268,24781.69366426185,1951479.6077765732,349524637.7172801,407532.9584039069,63380728.186320856,290590.55209170084,52849.00784142641,2087896.4901446302,375679821.2290665,481893.1887853569,68277160.11740135,421211.10423623933,67679.65559627487,2091538.3244529658,364352444.22992307,419122.95521965134,58533198.38535805,568931.5956840715,127518.63630832067,2029901.583953662,369805537.1946464,499855.95821079315,82887113.60040845,5111.4443359375,613909440.0,2173170.168061255,562105673.3218455,414514.1330685353
10,550,276262.30038925,297230.7525094197,3342.222975703072,682.9342378835264,2172444.934206997,384643424.6513939,443907.25462429214,74185743.45197396,150947.39249329126,27922.6345999225,2224417.1492758812,385789969.0347297,507783.8552363218,71411715.1218169,293185.18068425136,56949.42112348492,2164026.648272449,378976708.24125427,450159.7437123482,73622923.21841756,442753.0318170191,104888.32020572606,2152543.6913747005,383001779.67762494,568231.9825777737,90726693.29279947,595925.9345768337,131587.06467769796,2243673.969001617,387351857.4749419,559079.1576093752,85531592.04050362,4925.6728515625,592433536.0,2066634.3687690871,536156566.4487098,400303.3056460585
11,600,276262.30038925,450243.3626184122,3007.774904905621,688.6807100500228,1955053.6881886534,961191862.4282836,447642.4615325148,231654087.44668776,917988.6700341261,83354.43958874536,1908100.0645039894,2381046241.895216,542294.7364223391,216101209.787017,305410.70931491925,62464.42747115051,2281831.5633757845,394752090.5460194,511971.0398711348,80743307.01967366,451139.5585027639,93603.74860481343,2127558.141420757,390278431.3219217,483854.24483563344,80982734.83551356,573670.1003353458,114157.33900941176,2115795.732779263,372885565.2179749,496105.6167683604,74202270.35611768,5377.81298828125,711545408.0,2155232.4369477634,638017134.0108383,406629.8706036754
12,650,276262.30038925,291383.8459504663,3003.3672487849976,926.3616009335786,1952188.7117102484,425419081.4704099,602135.0406068261,171455886.8887678,163435.2918574276,36128.16931507612,2168455.9040273516,418426391.1172297,542273.0067188923,92948805.70142604,303576.70240296156,54141.235890934615,2218552.2172547835,392431160.9065954,482010.81268000556,69978610.57887264,442693.88541451306,74457.21079873948,2201781.4881039453,382934106.86320984,443355.68057974766,64411278.08071422,544209.9828286445,99360.40549857638,1944814.887453521,353736488.8386189,469108.16133483686,64584263.574074626,8630.923828125,628272960.0,2008121.4825663175,503785336.98978394,396748.4227849503
13,700,276262.30038925,301332.9831992797,3023.779192215674,754.9707089205972,1965456.474940188,442581582.3968964,490730.96079838835,156110403.0871825,156013.43477427785,32460.235259183195,2098890.310664272,399338259.48112965,515805.35685128206,83121722.8851804,279808.30970834324,54276.28094663715,2056513.490710123,361694289.1301362,506570.2287558621,70144371.43235113,440046.342950317,89935.69630070518,2237064.434373917,380627809.0788168,549683.5696712654,77785677.54505607,627773.0493712449,158803.23698764888,2307676.0571041266,408052482.09130925,527239.2958601185,103222104.04197173,4641.29150390625,657913280.0,2111127.939615399,631155636.9023634,425725.1206770108
14,750,276262.30038925,282420.6220317733,2552.1383049359138,803.9622347044993,1658889.898208344,1902672956.3908072,522575.4525579246,295403711.40619546,148392.12182750527,34855.74727401625,2191129.113974962,379246129.40958875,543035.6507676919,89340794.49202113,292149.78050659015,66100.63499355468,2144219.981657734,377650494.6769094,534014.1867567075,85464724.18911792,425007.1733798796,92531.53163664183,2087098.4243782484,367643850.7877696,470907.8711650968,80056465.6897256,544001.8961399558,130330.57953592211,2003885.40341041,353601232.4909713,564366.1745581237,84714876.69834933,4218.71240234375,711483648.0,2096541.5165802229,518189671.8962021,375137.75862489163
15,800,276262.30038925,309090.09105185495,2817.9267433206405,670.840933582645,1831652.3831584163,871942801.4371411,436046.6068287192,285258397.453935,201192.13791814435,43413.1489410616,2101042.232348447,516796431.8901301,523094.7352062374,111656290.57553558,377743.63958310743,80790.06892915157,2225204.1753680417,488841527.2826717,524479.9857915026,104553308.97194831,431439.5930739334,69749.89320604064,2079919.2038750655,373221007.5961172,433004.82245045295,60323543.03774871,532257.1579407688,104330.98993630911,1878166.9589375248,345967152.6614997,450966.6583663675,67815143.45860091,2851.359375,700340096.0,2129061.7499141176,518750460.5180561,398067.43313144165
16,850,276262.30038925,284501.895292327,3202.092740565311,496.2920642777922,2081360.2813674517,568489218.257783,322589.841780565,103904570.72245228,137475.75946738193,30562.268443303303,2081317.3787816903,351193022.4788479,490066.0097851516,78306769.10555585,287685.6311384252,60754.27610102342,2145482.611535252,371845837.86841744,591760.8320494266,78447107.00805125,439421.10558006144,73228.10124379204,2192437.615122897,380100812.297679,477157.9977891496,63328818.16331296,554724.8875352013,121720.2492336871,2027490.828286428,360571176.89788085,513630.5666712694,79118162.0018966,3864.539306640625,660961920.0,2147969.7332420205,559889898.538055,444008.69069712167
17,900,276262.30038925,283048.9709936062,2937.682964753581,760.0999474343689,1909493.9270898283,1279389570.3367696,494064.9658323399,292824426.0921665,158640.6748642404,32831.91105258415,2352899.967030527,405407054.7459336,471277.9487060071,84236929.74614534,281855.66227644257,46744.90922026212,2049048.8471804461,364363312.11219484,407713.7537680363,60444064.957080714,418909.5404843159,98532.11557872409,1982518.8485378725,362394095.47022796,521209.9506212433,85237173.9955412,552901.2943782785,87326.70628928959,2030439.1715029154,359385841.3458809,420759.2608612876,56762359.088038206,3460.9697265625,635691136.0,2108319.399031325,533227936.63647634,311835.1826986099
