,Episode,Best score so far,Eval score,"Eval, g: [0.]: mean_agg","Eval, g: [0.]: std_agg","Eval, g: [0.]: mean_C0","Eval, g: [0.]: mean_C1","Eval, g: [0.]: std_C0","Eval, g: [0.]: std_C1","Eval, g: [0.25]: mean_agg","Eval, g: [0.25]: std_agg","Eval, g: [0.25]: mean_C0","Eval, g: [0.25]: mean_C1","Eval, g: [0.25]: std_C0","Eval, g: [0.25]: std_C1","Eval, g: [0.5]: mean_agg","Eval, g: [0.5]: std_agg","Eval, g: [0.5]: mean_C0","Eval, g: [0.5]: mean_C1","Eval, g: [0.5]: std_C0","Eval, g: [0.5]: std_C1","Eval, g: [0.75]: mean_agg","Eval, g: [0.75]: std_agg","Eval, g: [0.75]: mean_C0","Eval, g: [0.75]: mean_C1","Eval, g: [0.75]: std_C0","Eval, g: [0.75]: std_C1","Eval, g: [1.]: mean_agg","Eval, g: [1.]: std_agg","Eval, g: [1.]: mean_C0","Eval, g: [1.]: mean_C1","Eval, g: [1.]: std_C0","Eval, g: [1.]: std_C1",Loss 1,Loss 2,"Train, Cost 1","Train, Cost 2","Train, Aggregated cost"
0,50,286625.3915831911,286625.3915831911,3199.5614200656796,714.5497712359462,2079714.9230426918,361796312.709451,464457.3513033649,78544726.1004796,151662.9398756047,30802.083154597116,2208977.454873121,387696711.31195277,575362.2038087593,78567472.39608186,295265.0097529037,55383.01481673998,2272674.222191478,381571838.45658326,433661.6335724798,71663849.70807138,428502.47294473037,68403.44466812047,2107304.3619070575,370666375.09813064,424065.499020557,59178112.77507816,554496.9739226511,101824.77095296294,2030832.0764066337,360423033.04972327,419679.99024413526,66186101.11942591,13604.8642578125,657035968.0,2161418.841924554,556516870.0722982,398855.7206832584
1,100,286625.3915831911,295139.2299231369,3030.8135433497287,716.36745594129,1970028.8031773232,369860271.6651178,465638.8463618387,73895131.75072397,162797.0562085301,32834.33706290288,2121166.3901396776,416908846.9717592,517695.3612723151,84186241.77407923,302872.9931975705,55832.444365809635,2239944.919109367,391494946.2377323,511236.5031794281,72178460.17293385,439753.9049743837,92959.63017360459,2120963.6266125743,380413063.1022617,528088.2706211499,80407871.689788,567241.3816918506,145197.38065856977,2006842.252471361,368706898.0997029,576603.0509275391,94378297.42807034,8986.36328125,608655744.0,2135387.4468043293,468319361.8495584,395401.95208062587
2,150,286625.3915831911,306395.6916254464,3294.080966602066,782.8150323191444,2141152.6282913433,405089001.7886255,508829.7710074437,160076228.86970055,167718.58743157188,24361.03774083299,2113820.5034537627,429726865.81172556,486663.904087804,62932183.870538376,314157.3996944709,68485.97839091405,1956921.6669136828,406447697.93589836,506481.2255136411,88659936.02817921,453217.7243257076,113377.32427772136,2133442.0224161665,392077547.0748078,600899.8842149571,98101001.70330055,593590.6657088791,142987.34709926782,2313212.0116753727,385833932.71077144,450848.19983699167,92941775.6145241,11250.1318359375,765367232.0,2116390.932597703,500228598.5804744,396707.0186941679
3,200,286625.3915831911,305469.3333107742,3413.610447998936,702.4251951927521,2218846.791199309,398667815.723154,456576.3768752889,86265890.68812148,158290.43276771987,24103.021972729715,2210660.705857332,404923143.0784997,426655.8751326174,61558137.41911697,304622.8179547289,67024.87243557427,2229096.4142915094,393780566.9268559,570371.6482720347,86611323.50576077,442242.9521583001,77780.05807818756,2089313.8328866174,382580787.2595644,469092.71282146906,67271175.82729983,618776.8532251231,117176.20224353846,2280931.5926534,402204954.59633,467449.67246521637,76164531.45830002,16489.298828125,838689408.0,2165555.0334930113,529593534.87457156,398570.62163080997
4,250,286625.3915831911,298516.5629553563,3173.9518824165702,724.6139801069102,2063068.723570771,519411112.8765654,470999.08706949174,184466832.2967911,146313.48555989523,30351.45609257043,2131704.415083635,374019949.21047664,515183.112745406,77598940.48933159,324734.4022813376,62478.45559481105,2389392.1550859744,419765330.8106529,507153.7829997504,80763050.50760865,431829.7370032055,101690.3677990975,2121828.823884988,373545162.46148324,563910.2183204375,87978895.71524878,586531.2380499268,147470.169857353,2147009.06076697,381245304.7324524,548761.0558880129,95855610.40727943,7502.84423828125,611951104.0,2212654.101700933,540283049.4644415,396756.9578141761
5,300,286625.3915831911,287440.410512132,3193.6471105539677,773.0798526431622,2075870.621860079,364925322.46003246,502501.90421805525,64340487.33707462,143425.979121322,21453.480209262456,2028798.3111391428,366821150.7820199,403624.88783720176,54776528.92707744,296468.7327419634,57507.63294008749,2240226.2505263584,383169126.3140262,480089.07653456106,74328302.54229045,432188.20195157186,85588.65233935924,2117767.5784468823,373857185.83188,472610.95133414335,74037505.93207277,561925.4916352488,106549.86132488285,2044598.5632294163,365251569.5629116,474478.8594617274,69257409.86117384,10359.150390625,802240960.0,2026222.6392009875,505895665.9288466,337797.22895076906
6,350,286625.3915831911,301378.0667104381,3281.0262854604607,622.4954067246048,2132667.0855492996,389478376.93872035,404622.0143709929,81788813.05151185,145834.55151523498,30878.408497835455,2165346.826591495,372673793.4598366,519204.652609143,79081748.82519309,298035.088004952,71237.71765702822,2254459.7699933024,385191154.6364443,569089.9210863506,92123311.36194979,453430.91241460474,85943.73193109645,2228350.358541418,392230673.97314364,435565.7833547804,74371390.55337459,606308.7553319384,105425.96341718346,2271465.509304342,394100690.96576005,505938.6747300663,68526876.22116925,6000.853515625,530903840.0,2173865.2968829516,527339788.0311272,404154.72027473873
7,400,286625.3915831911,294600.9891477356,3292.196163925007,967.923008927713,2139927.506551255,381466155.093151,629149.9558030135,111391128.14763376,157767.8984651012,33255.60398461975,2026479.1065897676,404117098.6894939,463764.94533043134,85313095.76612465,270817.4987412079,48543.848419497845,2027406.8943252957,350035341.4692449,370008.6835634378,62826001.85360693,451295.7015098484,92110.45813404767,2292390.1842708034,390358811.2471117,534515.30117745,79676671.37326348,589831.6508585953,116518.64618650444,2195967.848433416,383390573.0580868,562740.5892217536,75737120.02122788,7464.5625,704825088.0,2048755.529633649,468802937.6659526,315105.9374686474
8,450,280053.7467706731,280053.7467706731,3262.017631427779,901.4653308317831,2120311.460428056,438454231.88952434,585952.4650406591,132759953.00382857,156977.90868566415,39958.67029894161,2212532.484220554,401504965.1300651,590950.4941960245,102345596.41586092,290661.09767656756,57339.974453239425,2121818.530227493,375737608.4493104,428386.06487505627,74182292.01007544,396525.3953162772,82964.13881454445,1969030.0616335468,342998999.25356233,474755.16722129454,71785976.36488782,552842.3145434286,111673.15782886294,1991407.2071943292,359347504.45322853,470413.9778842393,72587552.58876097,3996.772216796875,566438016.0,2194886.5881238086,532570327.0391246,384610.95237684296
9,500,280053.7467706731,288952.2367477793,3150.3653559105232,763.1669996826587,2047737.4813418405,481652216.9227721,496058.549793728,135931768.01215076,146270.06224566748,26081.161060691877,2109685.003908437,373973106.8270101,473718.74286622397,66595378.828307986,283041.2436631386,66307.39861187802,2025580.1342544495,365928036.6278256,525242.6779778048,85728797.12091279,456568.1808156688,86085.86931092749,2248309.9120859136,394942986.7362177,469092.27463540994,74478064.39236824,555731.3316585113,133062.4622295227,2105540.422121251,361225365.57803243,543738.2023846748,86490600.44918978,7706.615234375,580017024.0,2033621.6446113703,481411591.8966704,415100.8705430147
10,550,280053.7467706731,293516.5117242864,3115.859859358424,724.541192378918,2025308.9085829759,559311070.992315,470951.77504629706,78004956.03446297,152345.1220842968,34630.533619510476,2130236.8572328854,389706606.84747314,525331.8757111748,88646940.54069501,281927.0561554884,55567.23782232551,2098227.5025585247,364406945.4995764,522224.93849188293,71773785.16960731,439631.90573144733,94095.51833272321,2163403.0264467215,380293183.95843875,554461.4528082346,81377416.5565162,590562.6147908411,114893.93175884888,2069198.43693979,383865699.61404675,430154.3587221863,74681055.64325178,8432.90234375,700343936.0,2149701.073654123,550467413.8038162,431252.072529916
11,600,280053.7467706731,288885.40391228115,3368.8417584307585,863.6475111859729,2189747.1429799926,576472431.3503231,561370.8822708823,178798842.777685,141802.9667964563,30113.683663088108,2159030.1809767927,362210623.127856,495595.21215744637,77379658.26214933,283279.884102438,50296.03919893424,2060254.8989134377,366203594.434256,452332.65757673077,65044934.815803416,418286.8151394332,71628.44764318854,2060047.6641547468,361828557.2327906,418709.36395454535,61972324.118668154,597688.5117646474,131527.88018575203,2216380.3790572006,388497532.64702094,503255.3302365878,85493122.12073883,4647.31298828125,679719616.0,2059790.6296407136,551534498.3779042,400874.5322254365
12,650,280053.7467706731,289237.1140020504,3249.478185269631,661.7371749252266,2112160.8204252613,481736605.3632626,430129.16370139737,136191993.32847896,139648.7168188027,26250.510576191442,1931405.4683350448,357292447.32388204,451675.59828943847,67017575.12257454,283136.49443743215,66681.6940736708,2055633.6282849235,366021809.140377,514364.0248742811,86214947.63351358,422660.8585953843,87766.32915644444,2146348.0387986945,365590628.10306674,511419.5480670508,75912690.31702197,597490.0219733634,136242.42211845846,2177690.2689129477,388368514.28268623,545003.8432791363,88557574.37699793,4090.10498046875,621976192.0,2115678.270370392,537630621.4488187,403106.64020139
