,Episode,Best score so far,Eval score,"Eval, g: [0.]: mean_agg","Eval, g: [0.]: std_agg","Eval, g: [0.]: mean_C0","Eval, g: [0.]: mean_C1","Eval, g: [0.]: std_C0","Eval, g: [0.]: std_C1","Eval, g: [0.25]: mean_agg","Eval, g: [0.25]: std_agg","Eval, g: [0.25]: mean_C0","Eval, g: [0.25]: mean_C1","Eval, g: [0.25]: std_C0","Eval, g: [0.25]: std_C1","Eval, g: [0.5]: mean_agg","Eval, g: [0.5]: std_agg","Eval, g: [0.5]: mean_C0","Eval, g: [0.5]: mean_C1","Eval, g: [0.5]: std_C0","Eval, g: [0.5]: std_C1","Eval, g: [0.75]: mean_agg","Eval, g: [0.75]: std_agg","Eval, g: [0.75]: mean_C0","Eval, g: [0.75]: mean_C1","Eval, g: [0.75]: std_C0","Eval, g: [0.75]: std_C1","Eval, g: [1.]: mean_agg","Eval, g: [1.]: std_agg","Eval, g: [1.]: mean_C0","Eval, g: [1.]: mean_C1","Eval, g: [1.]: std_C0","Eval, g: [1.]: std_C1",Loss 1,Loss 2,"Train, Cost 1","Train, Cost 2","Train, Aggregated cost"
0,50,289108.0796416269,289108.0796416269,3066.8084184488666,599.8822364739859,1993425.4719917635,359487708.41649365,389923.45370809076,59560047.89862426,140341.32927039443,29326.889597874873,1931658.9675379586,359092479.20041144,476487.6232027849,74989013.81803219,287063.25070259423,51625.25419570911,2137996.240262803,371044229.67310965,480349.75916082435,66740976.484570496,439107.0683879616,72482.78614252491,2152220.139957759,379842052.5562475,457609.4773381778,62679669.09196168,575961.9414287354,86682.47554365407,2071917.7084705017,374375261.928678,390384.0387717855,56343609.103375144,20647.8203125,905339904.0,2081524.9400180313,495711458.65028024,394124.40603902075
1,100,289108.0796416269,297260.00320080644,3142.308416315849,724.4132784104119,2042500.470605302,394382619.870958,470868.63096676784,136710940.3348978,149074.9432951512,37233.80685464244,2252119.5740537373,380838493.8452319,584989.0629565689,95283190.29726303,296060.1539240715,59735.32031972299,2200707.811845762,382677492.28944737,429900.20251993457,77294914.42612338,438744.5293220328,72427.00818215597,2138409.5803230302,379532455.55232084,474117.5315945538,62638725.08501712,599278.0810464609,125786.73353481384,2176247.150498537,389530752.6801996,451790.183429787,81761376.79762901,11019.90234375,681600128.0,2191236.3992584525,538269208.663783,375656.14115250343
2,150,289108.0796416269,312796.59659652365,3379.78728996559,592.5025882292896,2196861.7384776333,464271327.87058014,385126.6823490381,66688913.769851096,168459.48108405658,57459.38038094032,2110998.6122892806,431661654.9816792,522834.8322721216,148082854.31179148,310979.0877138588,52052.46962742017,2133323.25756318,402139490.7704534,453338.04120757774,67278930.74559458,486368.6279639072,89017.07208164237,2199888.153920942,420786181.51741254,457464.20634576457,77024353.49494566,594795.9989308299,138919.4689557349,2229154.078116862,386617399.3050394,476689.55975893297,90297654.8212277,8479.3251953125,610489408.0,2161075.0634460696,517336619.65315443,373981.624038633
3,200,289108.0796416269,291037.80828354514,3332.340686662819,784.2749150152816,2166021.446330832,388018596.27808094,509778.69475993305,75491804.76734352,144251.55539150795,27469.051318374255,2108525.912098503,368728466.28162515,468033.8430264731,70290593.9398163,279386.65934554406,47248.06273022135,2041889.990126733,361160767.1590805,414671.5493007318,61075728.11476553,480511.2948498074,78119.55006104852,2353353.904504197,415658670.9016649,468472.55113704695,67569114.80587454,547707.1911442034,124440.14442481479,2026754.133221977,356009674.24373233,556311.6980161817,80886093.8761296,11411.2080078125,770301952.0,2176584.888918027,532677213.7758213,496587.28387514316
4,250,289108.0796416269,315331.98019638535,3126.4179260547094,784.1643593439229,2032171.651935561,541554665.9727193,509706.8335735499,134936570.73019972,252457.9099831911,31782.390064351166,2141047.241912589,649967424.2305589,419174.63072327577,81962335.21131967,340593.83628866245,68222.9946432793,2221905.21781267,440550081.95744866,532953.1329448995,88222345.24271818,431205.5432601488,89482.25981429624,2022891.410447374,373037173.6886465,505455.24122206087,77403578.83611928,549276.1935238698,103671.54477464876,2042196.1476991063,357029525.79051536,491596.96792160714,67386504.1035217,5880.98095703125,712071488.0,2115772.6471003057,489802161.6899111,324377.4248048393
5,300,287914.6046768945,287914.6046768945,3065.3430989583985,732.2218004123904,1992473.014322959,397039552.98618925,475944.170268054,168750204.8005574,136774.55471091295,24725.008667913597,1990078.10659663,349643607.92858386,460513.8881649117,63151667.31829666,291781.43314863986,67999.91665374776,2144459.1021046545,377171403.99112725,549086.8173549664,87918035.7505175,429696.03865778696,82415.55132380498,2186217.720242069,371674494.26333463,506739.9308153348,71277492.92384426,578255.653768174,119958.05907270551,2249018.569541359,375866174.949313,623779.870355718,77972738.3972586,6908.33935546875,792999616.0,2063876.6244587908,463185913.4093687,381008.02341350913
6,350,287914.6046768945,293659.01555907575,3443.699522322256,871.3647561339972,2238404.6895094668,525377753.500794,566387.0914870981,157895242.98125097,149821.50958872293,29386.501593648736,2192343.177256094,382958895.39891136,587333.0566493787,74880227.04461288,299147.12336619647,57136.43191999868,2123334.9255553433,386767925.45049995,574707.993129184,73757658.44223838,427401.9513969614,92601.39338191942,2099816.1103682513,369715085.84057724,488692.19400623464,80115713.993817,588480.7939211758,118247.20297171481,2145535.6784678916,382512516.0487643,488743.9899693452,76860681.93161464,9032.4306640625,641073600.0,2116447.1160333897,514525639.2854028,406396.3701777301
7,400,287914.6046768945,289886.37941744516,3120.8298840176917,759.1938174058917,2028539.4246114993,352819038.6789504,493475.9813138294,63890375.41604857,142280.21820432742,31667.3116738525,2137745.6446947795,363515330.397167,472183.36394527514,81387565.96083796,285944.3611462411,50189.298721910236,2080461.6630649003,369647207.8270485,452349.9980607991,64856619.78937935,412493.48228111595,102849.68652489324,2014501.0538904285,356822850.95900357,564814.5183101781,88973423.82585415,605593.0055715238,126121.20673119664,2204893.3619686114,393635453.6214904,496129.05101016094,81978784.3752778,7292.3564453125,742758016.0,2098872.1342674736,459138081.93157023,369208.66593018436
8,450,287914.6046768945,322172.43861517485,3260.0731295874675,664.6701336441571,2119047.5342318537,481852668.0573536,432035.5868687018,98650747.71581404,150235.20972551193,29076.469407784778,2084500.5456865912,384358043.6492713,467045.24434461474,74354176.34747864,308375.79438782163,71228.94094765805,2200722.8166834502,398687809.8874845,538237.6683414287,92109987.21319766,470761.7573626311,86895.42059451237,2211298.3458552496,407256423.5989952,327775.67052918166,75231765.17309268,678229.3584703222,183454.07956907424,2058554.2790747313,440849083.0057094,599694.9257886223,119245151.71989827,6596.41455078125,644299392.0,2080025.5155235424,473253920.05304015,390700.51040891686
9,500,287914.6046768945,295501.9457122278,3200.4717344555634,587.9440667051094,2080306.6273961165,390505647.8649587,382163.643358321,69285103.3579268,146891.23842275247,30646.327946157853,2061266.7855172097,375733419.54260486,516804.87006404385,78331883.59513953,295489.6586224443,70192.94410148742,2174443.3429483427,381962112.8662292,513136.36854767904,90780235.78016251,447125.1711118305,66680.0809320105,2083935.698032618,386813836.39757556,382202.7422100432,57681814.63076328,584803.1886696562,127442.22325875887,2059340.9370918446,380122072.6352765,528076.4030964448,82837445.11819327,5425.1552734375,678243008.0,2096134.6771839985,501271934.59860593,288306.72812492866
