,Episode,Best score so far,Eval score,"Eval, g: [0.]: mean_agg","Eval, g: [0.]: std_agg","Eval, g: [0.]: mean_C0","Eval, g: [0.]: mean_C1","Eval, g: [0.]: std_C0","Eval, g: [0.]: std_C1","Eval, g: [0.25]: mean_agg","Eval, g: [0.25]: std_agg","Eval, g: [0.25]: mean_C0","Eval, g: [0.25]: mean_C1","Eval, g: [0.25]: std_C0","Eval, g: [0.25]: std_C1","Eval, g: [0.5]: mean_agg","Eval, g: [0.5]: std_agg","Eval, g: [0.5]: mean_C0","Eval, g: [0.5]: mean_C1","Eval, g: [0.5]: std_C0","Eval, g: [0.5]: std_C1","Eval, g: [0.75]: mean_agg","Eval, g: [0.75]: std_agg","Eval, g: [0.75]: mean_C0","Eval, g: [0.75]: mean_C1","Eval, g: [0.75]: std_C0","Eval, g: [0.75]: std_C1","Eval, g: [1.]: mean_agg","Eval, g: [1.]: std_agg","Eval, g: [1.]: mean_C0","Eval, g: [1.]: mean_C1","Eval, g: [1.]: std_C0","Eval, g: [1.]: std_C1",Loss 1,Loss 2,"Train, Cost 1","Train, Cost 2","Train, Aggregated cost"
0,50,314265.88200310536,314265.88200310536,3058.8067495671303,906.2895302662845,1988224.387218635,357401632.68978065,589088.1946730849,88836078.27885419,190917.1121641156,42907.742745043484,2136470.4084585174,489975080.40132487,536877.2913525907,110170553.35277565,321296.53189693217,59607.1502146338,2028483.0375092179,415657008.4285027,442447.32406222424,77112215.47037002,478423.18026978854,99608.23240665057,2058541.9813374802,413947242.2400377,568364.0008660238,86169240.55184904,577633.7789351232,110276.70919039956,2089413.288099427,375461956.30783004,507997.89350579714,71679860.97375974,16376.2587890625,735666240.0,2099273.1555583114,521960888.7960857,390798.2010633566
1,100,286927.8205652284,286927.8205652284,2902.537686432192,700.1751272341158,1886649.4961809246,348141741.3435746,455113.8327021751,70102643.54234774,145254.06194978228,28072.05769530203,2126314.007704077,371281619.04632163,452680.52830448834,71826139.02345763,292442.7308494292,52857.97771175322,2136879.3423692184,378038670.76188874,455967.2371140992,68326642.77081919,432143.34043862915,90074.71713165258,2184033.5291169947,373796217.2037731,536334.2797414705,77901485.12167066,561896.4319018691,113280.08632425564,2116739.2449402777,365232680.736215,471154.09819224686,73632056.11076617,13030.43359375,869948480.0,2067710.9056163821,490984886.2426093,350054.36206274317
2,150,286927.8205652284,299728.6848865156,3135.4377599611958,694.5635230403934,2038034.5439747768,378695160.033744,451466.2899762556,74668796.70426805,171648.70814897434,33876.993787713094,2221120.0654773056,439623280.9909013,486512.83778581186,86735780.68084301,324447.02191772155,58227.85876164279,2215387.8310504076,419565740.6619876,520937.0484525023,75306003.2625799,427804.7807400027,88157.79414034025,2171696.8366588163,370040244.3624494,556885.7742700741,76245576.94762686,571607.4758659183,110661.48305838618,2224257.654641252,371544859.3128469,474230.71285010164,71929963.98795101,6706.98779296875,531886656.0,2136939.228799592,513169687.0652941,389625.5126809887
3,200,286927.8205652284,295034.41667654057,3332.541944175521,893.458082095456,2166152.2637140886,380854692.63244116,580747.7533620467,82511649.71438451,154155.273432518,39421.66178119193,2007530.646535943,394781118.984939,533963.4779288758,101138638.90489206,295620.12029336457,61573.113597436946,2116066.2698128223,382190090.11156106,461412.9581406228,79643890.65782401,434146.80663776345,86930.40951923774,2153277.490266911,375542806.58930606,464510.6957342823,75215129.71866459,587917.3410748814,109678.27703175675,2137822.0830612252,382146271.6986729,495899.26010783255,71290880.07064186,11955.3798828125,786102144.0,2201435.582863977,509414114.9521335,425097.897796762
4,250,286927.8205652284,295033.2796364288,3368.1113161405574,780.3736780563162,2189272.355491362,396609237.897283,507242.8907366055,120046169.92103773,166994.1647966012,33327.525453783535,2332635.412729665,427186922.2329742,523708.91796947486,85484284.77079403,283235.60744724626,54227.99674570644,2235435.9302237653,365970853.75119644,427747.2450839346,70220358.1780134,437240.24187397625,74903.9011432534,2174154.071910213,378216824.9334758,483932.08060747234,64777399.13175215,584328.27274818,133109.5867461145,2168812.7667579446,379813377.286317,566888.8629190995,86521231.38497448,5089.1953125,541893248.0,2106129.7610051055,499840966.85931474,439346.00001003477
5,300,286927.8205652284,294233.96645249473,3371.8252742863187,839.5780799808925,2191686.428286107,473775249.61724854,545725.7519875803,109863702.51873302,143131.68428277117,27760.13191809818,2044764.1463663043,366008086.69610626,497896.72307372844,70885290.81481974,314913.1030229524,68303.31086229366,2323878.456141145,407063155.4736969,568963.8497455355,88317774.26618496,412718.4330957994,104375.69563002173,2038063.5595060184,357009954.1631907,585675.1747294035,90277963.3156209,597034.7865866643,128605.795495088,2193911.991619159,388072611.2813318,553036.41772735,83593767.07180718,7208.40185546875,622780928.0,2155676.1429461725,522683069.3949253,432538.4930382357
6,350,286927.8205652284,345313.7512531901,3319.406498146625,624.4014336879601,2157614.2237953064,448054802.538745,405860.93189717404,104890692.9793531,482911.55348476995,256909.0991258277,2097512.816728764,1249277500.610216,568300.6940583719,667683909.7331645,276499.42147100874,54760.584261692275,2034561.9584352444,357414685.95387614,475378.80898236943,70785612.24656275,419892.0869703723,98360.50998946287,2041983.0275265723,363225814.3651472,529905.3126879301,85082538.3123392,543946.2878416526,104297.77944852093,1955967.870807953,353565087.0970743,434337.31775371736,67793556.64153858,5755.3212890625,669304192.0,2234718.909832785,544479057.2962675,376358.4383403794
7,400,286927.8205652284,324981.3941127363,3277.929926346529,706.2061120516221,2130654.4521252434,481457227.191459,459033.97283355444,163406523.80014148,159411.4767188801,33785.91436087184,2139143.903518403,408052407.7585332,535978.9602247005,86405647.58859867,332114.67313559697,54602.77954563818,2191328.9256848004,429557746.1505913,485519.1806198263,70573290.9526484,486789.14869759144,93296.62987011696,2058372.2585838223,421197804.78505135,428531.422651058,80728593.66492249,643313.7420852663,148220.12589351938,2082242.22939715,418153932.3554233,520626.2316668575,96343081.83078758,4716.9033203125,666111104.0,2151340.5876094624,554148177.9361492,388499.0478248684
8,450,280853.1505136169,280853.1505136169,3484.2462934142195,733.0730231560233,2264760.090719243,438008993.1894542,476497.465051415,101137189.87751794,147359.26975052428,26186.203529566632,2090944.8077885616,376861266.9279974,462815.88302259706,66924936.218561366,278197.70478306833,55433.3566144132,1955317.1851587961,359701699.03283,439261.06617250264,71691939.71709391,426560.0987810635,85844.39971070662,2076022.774254624,368993411.3521701,476583.92789921624,74264827.40345365,548664.4329600141,134694.6541304826,1991662.046705268,356631881.42400926,600503.6450186251,87551525.18481374,6102.17431640625,686720704.0,2093340.132754109,492423085.5555929,365475.9598031297
9,500,280853.1505136169,286155.2093266289,2982.0828736020576,827.5495572353236,1938353.8678413373,366250483.8446941,537907.2122029604,72413901.40327553,145983.10482038933,27547.793439934983,2165591.317867147,373059298.5794108,511530.95505870844,70377026.17584996,289124.4520173769,49974.71809866596,2126547.219148087,373735240.40344185,526021.2517022575,64519536.49076105,427153.9584986689,91073.81484379976,2012811.9221964972,369529160.0581142,451798.9281487986,78803019.52455845,565532.4484231073,130753.17749496248,2040478.7267251962,367596091.47501975,515857.214579199,84989565.3717256,5153.63232421875,712408832.0,2048278.5496557865,500771308.9764212,385016.97151479265
10,550,276757.10024038295,276757.10024038295,3475.488646674697,943.638920922458,2259067.620338553,550925273.8437426,613365.2985995976,118137908.29755224,143338.07150644806,25964.874904574204,2086863.7011910107,366418394.81319195,478278.52461794537,66223607.79091354,278929.2674110876,57256.923717990096,2021239.1993132834,360586808.4351005,484770.07630870113,74014812.99033798,408606.9547525162,55908.89831566508,1999513.4780069788,353459522.9595117,394186.83312747086,48340424.9835562,549435.7188851883,105384.19711358567,1961355.407424336,357133217.27537245,466267.2895582417,68499728.12383066,4980.8583984375,538819200.0,2138086.6312141223,505431288.55666435,406473.1911561889
11,600,276757.10024038295,291310.4670504004,3449.2072971588777,755.3478858277757,2241984.743153271,429100100.5825285,490976.1257880542,86499320.99730815,144597.85720479835,25915.064106484526,2115152.317026501,369608971.7813962,462752.45275952836,66269059.05422484,300559.4628291713,53731.884116166664,2205715.094179305,388521586.5837433,523376.43398140615,69408730.83294244,427077.7064802841,93644.08773628328,2165660.805066763,369412125.3478907,505563.5262146295,81032319.26821664,580868.1014405894,129575.58916676854,2129042.8325007064,377564265.93638307,617875.0374353717,84224132.95839952,4362.75146484375,615837120.0,2158998.6893607276,525286888.8005869,409459.1061635073
12,650,276757.10024038295,278131.304962556,3062.7744231691204,567.1210100353306,1990803.3750599278,427456302.5576114,368628.6565229649,67266420.53513332,147103.37661077813,36519.09787035667,2090123.8140358182,376198407.7459157,616158.7525375779,93332379.7613573,279884.0941617047,54206.89149705448,2011036.7806908512,361838285.6295251,487013.0292824293,70030695.50075467,407857.46583496645,81115.76465751659,1946931.3870024907,352827493.26130354,545512.6069407206,70140977.91719432,552748.8137821615,105377.02856619838,2039007.9972538815,359286728.95840484,534990.7851134936,68495068.56802894,3545.70556640625,643202304.0,2067662.1100581705,511177915.3265435,398507.6315917258
13,700,276757.10024038295,302183.568115268,3045.923651777504,854.1535846637538,1979850.3736553767,457243033.67153823,555199.83003144,86814186.67207116,153250.06230310976,29329.15978637433,2206803.8484799224,391829750.44264567,500303.9244595621,74924138.47394419,298936.20537354855,68953.96795619665,2202970.1131104357,386414096.87250257,480212.39031187707,89220651.79579331,449964.45254723576,97102.31682128203,2167259.6205173833,389246772.3340986,581530.4043843298,83971115.84433866,605721.1967006683,131517.4408425326,2166842.5748737063,393718777.8554344,552213.7663427754,85486336.54764615,3795.239990234375,543437056.0,2110946.321846349,518243367.8613586,343983.36001401424
